rank,team,conference,record
1,Duke,30-2,ACC
2,Michigan,29-2,Big Ten
3,Arizona,30-2,Big 12
4,Florida,25-6,SEC
5,Illinois,24-7,Big Ten
6,Gonzaga,30-3,WCC
7,Iowa St.,27-6,Big 12
8,Houston,27-5,Big 12
9,UConn,28-4,Big East
10,Purdue,24-8,Big Ten
11,Michigan St.,25-6,Big Ten
12,Nebraska,26-5,Big Ten
13,Virginia,28-4,ACC
14,Alabama,23-8,SEC
15,Vanderbilt,24-7,SEC
16,Louisville,23-10,ACC
17,Arkansas,23-8,SEC
18,Kansas,23-9,Big 12
19,Tennessee,22-10,SEC
20,Texas Tech,22-10,Big 12
21,St. John's (NY),26-6,Big East
22,Saint Mary's (CA),26-5,WCC
23,BYU,23-11,Big 12
24,North Carolina,24-8,ACC
25,Iowa,21-12,Big Ten
26,Kentucky,21-12,SEC
27,Wisconsin,23-9,Big Ten
28,Utah St.,25-6,Mountain West
29,Saint Louis,26-4,Atlantic 10
30,Miami (FL),25-7,ACC
31,Ohio St.,21-11,Big Ten
32,Georgia,22-10,SEC
33,UCLA,22-10,Big Ten
34,Clemson,24-9,ACC
35,NC State,20-13,ACC
36,Villanova,24-8,Big East
37,SMU,20-13,ACC
38,TCU,22-11,Big 12
39,Auburn,17-16,SEC
40,Santa Clara,25-8,WCC
41,Indiana,18-14,Big Ten
42,Texas,17-14,SEC
43,Texas A&M,21-11,SEC
44,VCU,24-7,Atlantic 10
45,New Mexico,22-9,Mountain West
46,San Diego St.,20-10,Mountain West
47,Oklahoma,19-14,SEC
48,South Fla.,22-8,American
49,Cincinnati,18-15,Big 12
50,Tulsa,23-6,American
51,Baylor,15-16,Big 12
52,UCF,21-11,Big 12
53,Seton Hall,21-11,Big East
54,Akron,25-5,MAC
55,Virginia Tech,19-13,ACC
56,McNeese,26-5,Southland
57,Washington,16-17,Big Ten
58,Missouri,20-12,SEC
59,West Virginia,18-14,Big 12
60,Boise St.,19-11,Mountain West
61,Stanford,20-12,ACC
62,Florida St.,18-15,ACC
