date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Belmont,Away,L,79-63,55,NR,Q1
Nov 8,Austin Peay,Home,L,74-54,134,NR,Q3
Nov 11,Long Island University,Home,L,76-72,195,NR,Q4
Nov 15,Miami (OH),Home,L,76-61,51,NR,Q2
Nov 19,Alabama State,Home,W,66-64,,NR,Q4
Nov 21,Southern Illinois-Edwardsville,Home,W,77-63,,NR,Q4
Nov 23,IU Indy,Home,W,98-85,313,NR,Q4
Nov 26,Northern Colorado,Home,L,71-53,,NR,Q4
Nov 29,South Dakota,Neutral,L,80-63,276,NR,Q4
Dec 3,Pacific,Home,L,80-65,103,NR,Q3
Dec 7,Navy,Away,L,61-56,150,NR,Q3
Dec 17,San Diego State,Away,L,81-58,41,NR,Q1
Dec 30,Wyoming,Home,L,68-56,101,NR,Q3
Jan 3,Nevada-Las Vegas,Away,L,67-39,,NR,Q4
Jan 6,Utah State,Home,L,99-62,23,NR,Q1
Jan 10,New Mexico,Home,L,91-49,44,NR,Q2
Jan 13,San Jose State,Away,L,70-62,265,NR,Q4
Jan 17,Nevada,Home,L,81-66,59,NR,Q2
Jan 20,Colorado State,Away,L,81-52,95,NR,Q2
Jan 24,Boise State,Away,L,96-54,60,NR,Q1
Jan 31,Fresno State,Home,L,79-62,137,NR,Q3
Feb 3,Grand Canyon,Away,L,81-57,76,NR,Q2
Feb 7,San Diego State,Home,L,88-54,41,NR,Q2
Feb 10,Colorado State,Home,L,91-74,95,NR,Q3
Feb 14,Fresno State,Away,L,93-63,137,NR,Q3
Feb 17,New Mexico,Away,TBD,,44,NR,Q1
Feb 21,Nevada-Las Vegas,Home,TBD,,,NR,Q4
Feb 24,San Jose State,Home,TBD,,265,NR,Q4
Feb 28,Wyoming,Away,TBD,,101,NR,Q2
Mar 3,Grand Canyon,Home,TBD,,76,NR,Q3
Mar 7,Nevada,Away,TBD,,59,NR,Q1
