date,opponent,location,result,score,net_rank,quadrant
01/09/2026,(140),Away,W,77-6701,,
01/20/2026,(177),Away,W,82-6301,,
01/23/2026,(213),Away,W,86-6501,,
01/30/2026,(143),Home,W,69-5201,,
02/03/2026,(226),Away,W,66-6402,,
11/08/2025,(252),Home,W,104-6911,,
11/21/2025,(234),Neutral,W,96-7511,,
11/23/2025,(292),Neutral,W,97-5911,,
11/29/2025,(251),Home,W,105-8111,,
12/03/2025,(333),Home,W,97-7712,,
12/19/2025,(226),Home,W,93-7212,,
01/06/2026,(291),Home,W,82-6901,,
01/13/2026,(321),Home,W,87-7701,,
01/17/2026,(287),Home,W,104-8901,,
01/27/2026,(172),Home,W,91-8101,,
02/13/2026,(189),Home,W,99-9202,,
