date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Blue Mountain Christian University,Home,W,80-60,,NR,Q4
Nov 5,Indiana,Away,L,98-51,34,NR,Q1
Nov 13,Charleston Southern,Home,W,68-64,,NR,Q4
Nov 16,Lindenwood,Home,W,74-65,240,NR,Q4
Nov 28,Clemson,Away,L,92-56,31,NR,Q1
Nov 30,Coastal Carolina,Away,L,67-60,221,NR,Q3
Dec 3,Tennessee State,Home,W,80-53,235,NR,Q4
Dec 7,Lipscomb,Away,L,92-58,186,NR,Q3
Dec 13,Arkansas Baptist,Home,W,67-59,,NR,Q4
Dec 15,North Alabama,Home,W,68-60,,NR,Q4
Dec 17,Mississippi,Neutral,L,80-66,92,NR,Q2
Dec 21,Chattanooga,Home,L,73-66,300,NR,Q4
Dec 30,Fisk,Home,W,90-58,,NR,Q4
Jan 3,Arkansas-Pine Bluff,Away,L,95-83,,NR,Q4
Jan 5,Mississippi Valley State,Away,W,71-51,,NR,Q4
Jan 10,Alcorn State,Home,L,64-62,,NR,Q4
Jan 12,Jackson State,Home,W,100-91,347,NR,Q4
Jan 19,Alabama State,Neutral,W,73-69,,NR,Q4
Jan 24,Texas Southern,Away,L,89-74,319,NR,Q4
Jan 27,Prairie View,Away,W,80-60,330,NR,Q4
Jan 31,Florida A&M,Home,W,72-65,336,NR,Q4
Feb 2,Bethune-Cookman,Home,L,80-62,251,NR,Q4
Feb 7,Southern,Away,L,81-68,279,NR,Q4
Feb 9,Grambling,Away,W,66-58,275,NR,Q4
Feb 14,Mississippi Valley State,Home,W,72-65,,NR,Q4
Feb 16,Arkansas-Pine Bluff,Home,TBD,,,NR,Q4
Feb 21,Bethune-Cookman,Away,TBD,,251,NR,Q4
Feb 28,Alabama State,Home,TBD,,,NR,Q4
Mar 3,Grambling,Home,TBD,,275,NR,Q4
Mar 5,Southern,Home,TBD,,279,NR,Q4
