date,opponent,location,result,score,net_rank,quadrant
11/13/2025,(5),Home,L,80-8711,,
11/19/2025,(7),Neutral,W,90-8611,,
11/24/2025,(6),Neutral,L,85-9511,,
12/13/2025,(3),Neutral,L,75-9612,,
01/03/2026,(28),Home,W,89-7401,,
01/07/2026,(13),Away,L,90-9601,,
01/17/2026,(68),Away,W,83-8101,,
01/24/2026,(22),Home,L,73-7901,,
02/01/2026,(9),Away,L,77-10002,,
02/07/2026,(34),Away,W,96-9202,,
12/17/2025,(57),Home,W,104-9312,,
12/29/2025,(65),Home,W,102-7812,,
01/10/2026,(37),Home,L,88-9201,,
01/13/2026,(96),Away,W,97-8201,,
01/27/2026,(66),Home,W,90-6401,,
02/04/2026,(43),Home,W,100-9702,,
02/11/2026,(92),Away,W,93-7402,,
