date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Florida State,Away,L,108-76,82,NR,Q2
Nov 6,South Alabama,Away,L,76-70,168,NR,Q3
Nov 8,Minnesota,Away,L,95-50,86,NR,Q2
Nov 11,Maryland,Away,L,84-64,151,NR,Q3
Nov 13,Howard,Away,L,72-64,230,NR,Q3
Nov 18,Louisiana State,Away,L,107-81,67,NR,Q1
Nov 23,Oklahoma,Away,L,72-53,68,NR,Q1
Nov 28,Indiana State,Neutral,W,81-74,218,NR,Q4
Nov 29,Louisiana Tech,Away,L,83-58,247,NR,Q4
Dec 3,Iowa State,Away,L,132-68,8,NR,Q1
Dec 19,Baylor,Away,L,113-56,47,NR,Q1
Dec 29,Mississippi,Away,L,79-43,92,NR,Q2
Dec 31,Southern,Home,TBD,,279,NR,Q4
Jan 3,Jackson State,Away,L,89-86,347,NR,Q4
Jan 10,Alabama A&M,Away,W,64-62,311,NR,Q4
Jan 12,Alabama State,Away,L,81-66,,NR,Q4
Jan 17,Texas Southern,Home,L,72-71,319,NR,Q4
Jan 19,Prairie View,Home,W,76-75,330,NR,Q4
Jan 24,Florida A&M,Away,L,66-58,336,NR,Q4
Jan 26,Bethune-Cookman,Away,L,82-73,251,NR,Q4
Jan 31,Southern,Home,W,78-73,279,NR,Q4
Feb 2,Grambling,Home,L,74-50,275,NR,Q4
Feb 7,Arkansas-Pine Bluff,Away,L,84-77,,NR,Q4
Feb 9,Mississippi Valley State,Away,W,74-66,,NR,Q4
Feb 14,Bethune-Cookman,Home,W,57-55,251,NR,Q4
Feb 16,Florida A&M,Home,TBD,,336,NR,Q4
Feb 21,Jackson State,Home,TBD,,347,NR,Q4
Feb 26,Texas Southern,Away,TBD,,319,NR,Q4
Feb 28,Prairie View,Away,TBD,,330,NR,Q4
Mar 3,Mississippi Valley State,Home,TBD,,,NR,Q4
Mar 5,Arkansas-Pine Bluff,Home,TBD,,,NR,Q4
