date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Central Michigan,Away,L,82-66,,NR,Q4
Nov 5,Carolina,Home,W,92-46,,NR,Q4
Nov 9,North Carolina Central,Home,W,76-54,340,NR,Q4
Nov 11,Ohio State,Away,L,75-53,38,NR,Q1
Nov 16,Dartmouth,Away,W,85-77,252,NR,Q4
Nov 21,Charlotte,Home,W,65-63,189,NR,Q4
Nov 24,Elon,Home,L,88-53,192,NR,Q4
Nov 26,Mercer,Away,L,75-67,153,NR,Q3
Nov 30,UNC Asheville,Away,L,67-55,228,NR,Q3
Dec 3,VU Lynchburg,Home,W,133-45,,NR,Q4
Dec 11,East Carolina,Away,W,67-54,269,NR,Q4
Dec 14,High Point,Neutral,W,86-78,75,NR,Q2
Dec 18,Coastal Carolina,Home,W,67-49,221,NR,Q4
Dec 20,Georgia State,Home,L,70-63,,NR,Q4
Dec 31,Old Dominion,Away,W,81-73,256,NR,Q4
Jan 3,Marshall,Away,L,88-81,149,NR,Q3
Jan 8,Georgia State,Away,W,52-50,,NR,Q4
Jan 10,Coastal Carolina,Away,L,67-62,221,NR,Q3
Jan 15,James Madison,Home,W,80-65,219,NR,Q4
Jan 17,Old Dominion,Home,L,75-73,256,NR,Q4
Jan 22,Louisiana,Home,W,72-58,312,NR,Q4
Jan 23,Louisiana-Monroe,Home,W,59-43,,NR,Q4
Jan 29,Southern Mississippi,Away,W,70-63,,NR,Q4
Jan 31,Troy,Away,W,66-44,132,NR,Q2
Feb 4,South Alabama,Home,W,65-57,168,NR,Q4
Feb 7,Eastern Michigan,Home,W,65-60,,NR,Q4
Feb 11,Georgia Southern,Away,W,81-65,,NR,Q4
Feb 14,James Madison,Away,L,69-58,219,NR,Q3
Feb 19,Marshall,Home,TBD,,149,NR,Q3
Feb 21,Georgia Southern,Home,TBD,,,NR,Q4
Feb 27,Texas State,Away,TBD,,,NR,Q4
