date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Florida,Neutral,W,93-87,9,NR,Q1
Nov 7,Utah Tech,Home,W,93-67,158,NR,Q3
Nov 11,Northern Arizona,Home,W,84-49,302,NR,Q4
Nov 14,UCLA,Neutral,W,69-65,40,NR,Q1
Nov 19,Connecticut,Away,W,71-67,10,NR,Q1
Nov 24,Denver,Home,W,103-73,230,NR,Q4
Nov 29,Norfolk State,Home,W,98-61,309,NR,Q4
Dec 6,Auburn,Home,W,97-68,34,NR,Q2
Dec 13,Alabama,Neutral,W,96-75,21,NR,Q1
Dec 16,Abilene Christian,Home,W,96-62,233,NR,Q4
Dec 20,San Diego State,Neutral,W,68-45,41,NR,Q1
Dec 22,Bethune-Cookman,Home,W,107-71,250,NR,Q4
Dec 29,South Dakota State,Home,W,99-71,205,NR,Q4
Jan 3,Utah,Away,W,97-78,126,NR,Q2
Jan 7,Kansas State,Home,W,101-76,101,NR,Q3
Jan 10,TCU,Away,W,86-73,45,NR,Q1
Jan 14,Arizona State,Home,W,89-82,71,NR,Q2
Jan 17,UCF,Away,W,84-77,49,NR,Q1
Jan 21,Cincinnati,Home,W,77-51,63,NR,Q2
Jan 24,West Virginia,Home,W,88-53,54,NR,Q2
Jan 26,Brigham Young,Away,W,86-83,20,NR,Q1
Jan 31,Arizona State,Away,W,87-74,71,NR,Q1
Feb 7,Oklahoma State,Home,W,84-47,72,NR,Q2
Feb 9,Kansas,Away,L,82-78,14,NR,Q1
Feb 14,Texas Tech,Home,L,78-75,16,NR,Q1
Feb 18,Brigham Young,Home,TBD,,20,NR,Q1
Feb 21,Houston,Away,TBD,,4,NR,Q1
Feb 24,Baylor,Away,TBD,,47,NR,Q1
Feb 28,Kansas,Home,TBD,,14,NR,Q1
Mar 2,Iowa State,Home,TBD,,8,NR,Q1
Mar 7,Colorado,Away,TBD,,73,NR,Q1
