date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Washington,Away,L,94-50,52,NR,Q1
Nov 6,Portland,Away,L,83-74,208,NR,Q3
Nov 8,Loyola Marymount,Away,L,94-72,,NR,Q4
Nov 11,Oklahoma,Away,L,95-69,68,NR,Q1
Nov 15,Vanderbilt,Away,L,104-75,13,NR,Q1
Nov 18,Southern Methodist,Away,L,106-60,36,NR,Q1
Nov 20,Marshall,Away,L,98-70,149,NR,Q3
Nov 23,Miami (OH),Away,L,111-84,51,NR,Q1
Dec 3,Illinois-Chicago,Away,W,63-62,,NR,Q4
Dec 6,DePaul,Away,L,76-72,108,NR,Q2
Dec 10,Tulsa,Away,L,117-84,53,NR,Q1
Dec 15,Ecclesia,Home,W,114-64,,NR,Q4
Dec 17,Champion Christian,Home,W,138-73,,NR,Q4
Jan 3,Alabama A&M,Home,W,95-83,311,NR,Q4
Jan 5,Alabama State,Home,W,90-79,,NR,Q4
Jan 10,Texas Southern,Away,W,74-66,319,NR,Q4
Jan 12,Prairie View,Away,L,73-61,330,NR,Q4
Jan 17,Florida A&M,Home,L,71-67,336,NR,Q4
Jan 19,Bethune-Cookman,Home,L,87-82,251,NR,Q4
Jan 24,Southern,Away,W,75-74,279,NR,Q4
Jan 31,Mississippi Valley State,Away,W,78-70,,NR,Q4
Feb 4,Grambling,Away,W,67-64,275,NR,Q4
Feb 7,Alcorn State,Home,W,84-77,,NR,Q4
Feb 9,Jackson State,Home,W,84-63,347,NR,Q4
Feb 14,Alabama State,Away,L,79-61,,NR,Q4
Feb 16,Alabama A&M,Away,TBD,,311,NR,Q4
Feb 21,Prairie View,Home,TBD,,330,NR,Q4
Feb 28,Mississippi Valley State,Home,TBD,,,NR,Q4
Mar 3,Jackson State,Away,TBD,,347,NR,Q4
Mar 5,Alcorn State,Away,TBD,,,NR,Q4
