date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Ohio,Away,W,89-85,213,NR,Q3
Nov 7,Stephen F. Austin,Away,L,90-65,,NR,Q4
Nov 11,Missouri State,Away,W,86-85,,NR,Q4
Nov 15,Christian Brothers,Home,W,95-67,,NR,Q4
Nov 19,Saint Mary's (CA),Away,L,85-72,26,NR,Q1
Nov 21,Southern Methodist,Away,L,100-69,36,NR,Q1
Nov 24,Jacksonville State,Home,W,74-63,,NR,Q4
Nov 28,North Dakota State,Home,W,85-80,,NR,Q4
Dec 2,UT Arlington,Home,W,83-63,158,NR,Q3
Dec 6,Little Rock,Away,W,90-78,307,NR,Q4
Dec 13,Rice,Away,L,77-76,248,NR,Q4
Dec 17,Texas State,Away,W,89-70,,NR,Q4
Dec 20,Southern Mississippi,Away,W,93-86,,NR,Q4
Dec 30,Arkansas Tech,Home,W,107-63,,NR,Q4
Jan 3,James Madison,Home,L,78-74,219,NR,Q4
Jan 7,Troy,Home,W,86-74,132,NR,Q3
Jan 10,Texas State,Home,W,83-82,,NR,Q4
Jan 15,South Alabama,Away,L,91-87,168,NR,Q3
Jan 17,Troy,Away,L,99-74,132,NR,Q2
Jan 22,Georgia Southern,Away,W,85-68,,NR,Q4
Jan 24,Georgia State,Away,L,82-81,,NR,Q4
Jan 28,Old Dominion,Home,L,75-71,256,NR,Q4
Jan 31,Marshall,Home,L,70-61,149,NR,Q3
Feb 4,Coastal Carolina,Away,W,70-66,221,NR,Q3
Feb 7,Bowling Green,Home,W,91-54,141,NR,Q3
Feb 11,Louisiana-Monroe,Home,W,103-70,,NR,Q4
Feb 14,South Alabama,Home,L,92-88,168,NR,Q4
Feb 19,Louisiana,Away,TBD,,312,NR,Q4
Feb 21,Louisiana-Monroe,Away,TBD,,,NR,Q4
Feb 24,Southern Mississippi,Home,TBD,,,NR,Q4
Feb 27,Louisiana,Home,TBD,,312,NR,Q4
