date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Bethune-Cookman,Home,W,95-90,250,NR,Q4
Nov 6,Merrimack,Home,W,95-57,188,NR,Q4
Nov 11,Wofford,Home,W,93-62,228,NR,Q4
Nov 16,Houston,Neutral,L,73-72,4,NR,Q1
Nov 19,Jackson State,Home,W,112-66,347,NR,Q4
Nov 24,Oregon,Neutral,W,84-73,107,NR,Q3
Nov 25,Michigan,Neutral,L,102-72,1,NR,Q1
Nov 26,St. John's (NY),Neutral,W,85-74,24,NR,Q1
Dec 3,NC State,Home,W,83-73,29,NR,Q1
Dec 6,Arizona,Away,L,97-68,3,NR,Q1
Dec 13,Chattanooga,Neutral,W,92-78,300,NR,Q4
Dec 20,Purdue,Neutral,L,88-60,5,NR,Q1
Dec 29,Queens (NC),Home,W,106-65,206,NR,Q4
Dec 29,Queens (NY),Home,TBD,,,NR,Q4
Jan 3,Georgia,Away,L,104-100,39,NR,Q1
Jan 6,Texas A&M,Home,L,90-88,43,NR,Q2
Jan 10,Arkansas,Home,W,95-73,18,NR,Q1
Jan 14,Missouri,Away,L,84-74,66,NR,Q1
Jan 17,South Carolina,Home,W,71-67,112,NR,Q3
Jan 20,Mississippi,Away,W,78-66,92,NR,Q2
Jan 24,Florida,Away,W,76-67,9,NR,Q1
Jan 28,Texas,Home,W,88-82,37,NR,Q2
Jan 31,Tennessee,Away,L,77-69,22,NR,Q1
Feb 7,Alabama,Home,L,96-92,21,NR,Q1
Feb 10,Vanderbilt,Home,L,84-76,13,NR,Q1
Feb 14,Arkansas,Away,L,88-75,18,NR,Q1
Feb 18,Mississippi State,Away,TBD,,96,NR,Q2
Feb 21,Kentucky,Home,TBD,,28,NR,Q1
Feb 24,Oklahoma,Away,TBD,,68,NR,Q1
Feb 28,Mississippi,Home,TBD,,92,NR,Q3
Mar 3,Louisiana State,Home,TBD,,67,NR,Q2
Mar 7,Alabama,Away,TBD,,21,NR,Q1
