date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Bryan,Home,W,128-47,,NR,Q4
Nov 8,Air Force,Away,W,74-54,345,NR,Q4
Nov 11,Wyoming,Away,L,79-65,102,NR,Q2
Nov 15,UNC Greensboro,Away,W,69-63,295,NR,Q4
Nov 18,Mississippi,Away,L,72-65,92,NR,Q2
Nov 21,Tulsa,Away,L,84-75,53,NR,Q1
Nov 25,Northern Illinois,Home,W,77-59,,NR,Q4
Dec 3,Kent State,Away,L,96-84,143,NR,Q3
Dec 7,Texas-Rio Grande Valley,Away,L,63-50,139,NR,Q3
Dec 12,East Tennessee State,Home,W,76-75,127,NR,Q3
Dec 21,Kansas City,Away,TBD,,355,NR,Q4
Dec 28,Fisk,Home,W,110-59,,NR,Q4
Jan 1,North Florida,Home,W,102-83,337,NR,Q4
Jan 3,Jacksonville,Home,W,71-68,306,NR,Q4
Jan 8,Florida Gulf Coast,Away,W,82-71,257,NR,Q4
Jan 10,Stetson,Away,W,81-69,327,NR,Q4
Jan 15,Eastern Kentucky,Home,W,74-72,274,NR,Q4
Jan 17,Lipscomb,Away,L,82-78,186,NR,Q3
Jan 22,Florida Gulf Coast,Home,W,83-62,257,NR,Q4
Jan 23,Stetson,Home,W,73-65,327,NR,Q4
Jan 28,Eastern Kentucky,Away,W,90-82,274,NR,Q4
Jan 31,West Georgia,Away,W,81-78,,NR,Q4
Feb 4,Lipscomb,Home,W,87-76,186,NR,Q4
Feb 7,North Alabama,Home,W,91-62,,NR,Q4
Feb 11,Queens (NC),Away,W,95-87,206,NR,Q3
Feb 14,Bellarmine,Home,W,90-70,288,NR,Q4
Feb 19,North Florida,Away,TBD,,337,NR,Q4
Feb 21,Jacksonville,Away,TBD,,306,NR,Q4
Feb 25,Central Arkansas,Home,TBD,,181,NR,Q4
Feb 28,Bellarmine,Away,TBD,,288,NR,Q4
