date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Texas-Rio Grande Valley,Home,W,96-81,139,NR,Q3
Nov 9,Washington,Home,W,78-69,52,NR,Q2
Nov 14,Tarleton State,Home,W,94-81,,NR,Q4
Nov 24,Creighton,Neutral,W,81-74,81,NR,Q2
Nov 25,St. John's (NY),Neutral,L,96-81,24,NR,Q1
Nov 26,San Diego State,Neutral,W,91-81,41,NR,Q1
Dec 2,Sacramento State,Home,W,110-88,,NR,Q4
Dec 6,Memphis,Away,L,78-71,105,NR,Q2
Dec 10,Norfolk State,Home,W,97-67,309,NR,Q4
Dec 19,Alcorn State,Home,W,113-56,,NR,Q4
Dec 21,Southern,Home,W,111-67,281,NR,Q4
Dec 29,Arlington Baptist,Home,W,124-61,,NR,Q4
Jan 3,TCU,Away,L,69-63,45,NR,Q1
Jan 7,Iowa State,Home,L,70-60,8,NR,Q1
Jan 10,Houston,Home,L,77-55,4,NR,Q1
Jan 13,Oklahoma State,Away,W,94-79,72,NR,Q1
Jan 16,Kansas,Away,L,80-62,14,NR,Q1
Jan 20,Texas Tech,Home,L,92-73,16,NR,Q1
Jan 24,TCU,Home,L,97-90,45,NR,Q2
Jan 28,Cincinnati,Away,L,67-57,63,NR,Q1
Jan 31,West Virginia,Away,W,63-53,54,NR,Q1
Feb 4,Colorado,Home,W,86-67,73,NR,Q2
Feb 7,Iowa State,Away,L,72-69,8,NR,Q1
Feb 10,Brigham Young,Home,L,99-94,20,NR,Q1
Feb 14,Louisville,Neutral,L,82-71,12,NR,Q1
Feb 17,Kansas State,Away,TBD,,101,NR,Q2
Feb 21,Arizona State,Home,TBD,,71,NR,Q2
Feb 24,Arizona,Home,TBD,,3,NR,Q1
Feb 28,UCF,Away,TBD,,49,NR,Q1
Mar 4,Houston,Away,TBD,,4,NR,Q1
Mar 7,Utah,Home,TBD,,126,NR,Q3
