date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Georgia,Away,L,104-59,39,NR,Q1
Nov 8,Kansas State,Away,L,98-71,101,NR,Q2
Nov 12,Hanover,Home,W,94-55,,NR,Q4
Nov 15,Wofford,Home,L,94-86,228,NR,Q4
Nov 19,Notre Dame,Away,L,86-79,87,NR,Q2
Nov 24,The Citadel,Away,W,70-58,350,NR,Q4
Nov 25,Houston Christian,Neutral,W,74-69,298,NR,Q4
Nov 29,Northern Illinois,Away,TBD,,,NR,Q4
Dec 3,Midway,Home,W,99-60,,NR,Q4
Dec 6,Murray State,Away,L,81-68,,NR,Q4
Dec 13,Northern Kentucky,Home,L,80-76,201,NR,Q4
Dec 17,Chattanooga,Home,W,79-64,300,NR,Q4
Dec 23,Kentucky,Away,L,99-85,28,NR,Q1
Jan 1,West Georgia,Away,L,87-85,,NR,Q4
Jan 3,Queens (NC),Away,L,98-76,206,NR,Q3
Jan 8,Central Arkansas,Home,W,84-78,181,NR,Q4
Jan 10,North Alabama,Home,L,82-73,,NR,Q4
Jan 15,Lipscomb,Away,L,81-71,186,NR,Q3
Jan 17,Eastern Kentucky,Away,L,89-69,274,NR,Q4
Jan 22,Jacksonville,Away,W,77-70,306,NR,Q4
Jan 24,North Florida,Away,L,117-114,337,NR,Q4
Jan 28,West Georgia,Home,W,77-74,,NR,Q4
Jan 31,Queens (NC),Home,W,78-75,206,NR,Q4
Feb 5,Stetson,Home,W,92-71,327,NR,Q4
Feb 7,Florida Gulf Coast,Home,W,81-65,257,NR,Q4
Feb 11,Central Arkansas,Away,L,84-76,181,NR,Q3
Feb 14,Austin Peay,Away,L,90-70,134,NR,Q2
Feb 18,Lipscomb,Home,TBD,,186,NR,Q4
Feb 21,Eastern Kentucky,Home,TBD,,274,NR,Q4
Feb 25,North Alabama,Away,TBD,,,NR,Q4
Feb 28,Austin Peay,Home,TBD,,134,NR,Q3
