date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Air Force,Home,W,79-63,345,NR,Q4
Nov 8,Tennessee State,Home,W,87-79,236,NR,Q4
Nov 15,Oral Roberts,Away,W,83-60,335,NR,Q4
Nov 19,Lipscomb,Home,W,75-68,186,NR,Q4
Nov 21,Fisk,Home,W,96-49,,NR,Q4
Nov 24,Saint Francis (PA),Neutral,W,94-57,,NR,Q4
Nov 26,Toledo,Neutral,W,87-72,172,NR,Q3
Nov 30,College of Charleston,Away,W,96-73,,NR,Q4
Dec 3,Richmond,Home,L,84-76,141,NR,Q3
Dec 7,Middle Tennessee,Away,W,83-62,161,NR,Q3
Dec 13,Illinois-Chicago,Home,W,87-84,,NR,Q4
Dec 16,Evansville,Away,W,83-78,292,NR,Q4
Dec 19,UC Irvine,Away,W,84-58,119,NR,Q2
Dec 29,Indiana State,Away,L,81-80,217,NR,Q3
Jan 1,Bradley,Home,W,88-78,118,NR,Q3
Jan 4,Southern Illinois,Home,L,68-67,117,NR,Q3
Jan 7,Northern Iowa,Away,W,78-65,,NR,Q4
Jan 10,Drake,Away,W,78-76,192,NR,Q3
Jan 13,Valparaiso,Home,W,78-74,162,NR,Q4
Jan 17,Southern Illinois,Away,W,73-68,117,NR,Q2
Jan 24,Illinois State,Home,W,80-69,,NR,Q4
Jan 28,Valparaiso,Away,W,78-77,162,NR,Q3
Jan 31,Murray State,Home,W,103-86,,NR,Q4
Feb 3,Drake,Home,W,103-90,192,NR,Q4
Feb 6,Illinois-Chicago,Away,W,68-62,,NR,Q4
Feb 9,Bradley,Away,L,95-84,118,NR,Q2
Feb 12,Northern Iowa,Home,W,91-86,,NR,Q4
Feb 15,Murray State,Away,TBD,,,NR,Q4
Feb 21,Indiana State,Home,TBD,,217,NR,Q4
Feb 25,Evansville,Home,TBD,,292,NR,Q4
Mar 1,Illinois State,Away,TBD,,,NR,Q4
