date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Syracuse,Away,L,85-47,69,NR,Q1
Nov 5,RIT,Home,W,66-56,,NR,Q4
Nov 8,Niagara,Home,L,67-59,346,NR,Q4
Nov 12,Georgetown,Away,L,83-70,91,NR,Q2
Nov 15,Longwood,Away,L,90-82,272,NR,Q4
Nov 19,Misericordia,Home,W,69-58,,NR,Q4
Nov 22,Maryland-Eastern Shore,Neutral,L,63-52,,NR,Q4
Nov 23,Canisius,Away,L,75-66,344,NR,Q4
Dec 2,Lehigh,Home,W,80-71,296,NR,Q4
Dec 6,Le Moyne,Home,L,78-63,280,NR,Q4
Dec 13,Central Connecticut State,Home,L,84-67,,NR,Q4
Dec 17,Pittsburgh,Away,L,103-63,122,NR,Q2
Dec 20,Mercyhurst,Away,L,82-61,282,NR,Q4
Dec 23,Army,Away,L,95-85,332,NR,Q4
Dec 29,Elmira,Home,W,100-60,,NR,Q4
Jan 3,NJIT,Home,L,73-65,301,NR,Q4
Jan 8,Vermont,Away,L,60-59,215,NR,Q3
Jan 10,Massachusetts-Lowell,Home,L,73-68,323,NR,Q4
Jan 15,Albany (NY),Away,L,69-53,,NR,Q4
Jan 19,Maryland-Baltimore County,Home,L,78-60,,NR,Q4
Jan 22,New Hampshire,Away,L,88-82,334,NR,Q4
Jan 24,Maine,Away,L,79-63,341,NR,Q4
Jan 29,Bryant,Home,W,63-60,352,NR,Q4
Feb 5,Maryland-Baltimore County,Away,L,79-62,,NR,Q4
Feb 7,NJIT,Away,L,73-64,301,NR,Q4
Feb 12,Vermont,Home,L,73-65,215,NR,Q4
Feb 14,Albany (NY),Home,L,77-74,,NR,Q4
Feb 19,Bryant,Away,TBD,,352,NR,Q4
Feb 21,Massachusetts-Lowell,Away,TBD,,323,NR,Q4
Feb 26,New Hampshire,Home,TBD,,334,NR,Q4
Feb 28,Maine,Home,TBD,,341,NR,Q4
