date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Hawaii Pacific,Home,L,79-78,,NR,Q4
Nov 8,Utah Valley,Home,W,101-77,88,NR,Q3
Nov 11,Texas-Rio Grande Valley,Home,W,85-65,140,NR,Q3
Nov 15,Montana State,Home,W,62-58,,NR,Q4
Nov 18,Wichita State,Home,W,62-59,,NR,Q4
Nov 24,Southern California,Neutral,L,70-67,48,NR,Q1
Nov 25,NC State,Neutral,L,81-70,29,NR,Q1
Nov 26,Chaminade,Neutral,W,102-76,,NR,Q4
Dec 6,Butler,Away,W,77-68,80,NR,Q2
Dec 10,Duquesne,Home,W,86-64,117,NR,Q3
Dec 14,Saint Mary's (CA),Neutral,W,68-67,26,NR,Q1
Dec 20,Nevada,Away,L,81-66,59,NR,Q1
Dec 30,New Mexico,Home,W,62-53,44,NR,Q2
Jan 3,San Diego State,Away,L,110-107,41,NR,Q1
Jan 7,Grand Canyon,Home,L,75-58,76,NR,Q3
Jan 10,Utah State,Home,L,93-68,23,NR,Q1
Jan 13,Nevada-Las Vegas,Away,L,89-85,,NR,Q4
Jan 16,Colorado State,Home,W,79-73,95,NR,Q3
Jan 20,Wyoming,Away,W,81-65,101,NR,Q2
Jan 24,Air Force,Home,W,96-54,346,NR,Q4
Jan 27,San Jose State,Away,W,89-58,265,NR,Q4
Jan 30,Grand Canyon,Away,L,86-69,76,NR,Q2
Feb 3,Nevada,Home,W,91-87,59,NR,Q2
Feb 7,New Mexico,Away,W,91-90,44,NR,Q1
Feb 13,Nevada-Las Vegas,Home,L,86-83,,NR,Q4
Feb 18,Utah State,Away,TBD,,23,NR,Q1
Feb 21,San Jose State,Home,TBD,,265,NR,Q4
Feb 24,Wyoming,Home,TBD,,101,NR,Q3
Feb 28,Fresno State,Away,TBD,,137,NR,Q3
Mar 3,San Diego State,Home,TBD,,41,NR,Q2
Mar 7,Colorado State,Away,TBD,,95,NR,Q2
