date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Northeastern,Away,W,76-75,273,NR,Q4
Nov 7,Northwestern,Away,L,76-52,77,NR,Q2
Nov 12,Brown,Home,W,90-77,285,NR,Q4
Nov 15,Merrimack,Home,L,91-79,185,NR,Q4
Nov 18,Columbia,Away,L,54-49,180,NR,Q3
Nov 22,Harvard,Neutral,W,75-74,160,NR,Q3
Nov 25,Penn State,Away,L,96-87,122,NR,Q2
Nov 29,Northern Kentucky,Away,L,74-65,199,NR,Q3
Dec 3,Vermont State–Johnson,Home,W,104-57,,NR,Q4
Dec 6,New Hampshire,Away,L,88-82,334,NR,Q4
Dec 10,Maine,Home,L,69-59,343,NR,Q4
Dec 13,Dartmouth,Away,L,77-64,252,NR,Q4
Dec 21,Massachusetts-Lowell,Home,W,88-76,323,NR,Q4
Dec 31,Navy,Away,L,82-77,150,NR,Q3
Jan 3,American,Home,L,64-62,261,NR,Q4
Jan 7,Lafayette,Away,W,83-67,326,NR,Q4
Jan 10,Army,Home,W,100-91,332,NR,Q4
Jan 14,Lehigh,Home,L,93-91,295,NR,Q4
Jan 17,Loyola (MD),Away,L,74-57,,NR,Q4
Jan 21,Lafayette,Home,W,77-73,326,NR,Q4
Jan 24,Colgate,Away,L,80-79,201,NR,Q3
Jan 28,Navy,Home,L,58-50,150,NR,Q3
Jan 31,Bucknell,Away,L,103-97,333,NR,Q4
Feb 2,Holy Cross,Away,W,72-64,327,NR,Q4
Feb 7,Loyola (MD),Home,W,78-69,,NR,Q4
Feb 11,Army,Away,W,85-68,332,NR,Q4
Feb 14,Bucknell,Home,W,82-69,333,NR,Q4
Feb 16,Colgate,Home,TBD,,201,NR,Q4
Feb 22,Lehigh,Away,TBD,,295,NR,Q4
Feb 25,Holy Cross,Home,TBD,,327,NR,Q4
Feb 28,American,Away,TBD,,261,NR,Q4
