date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,St. Bonaventure,Neutral,L,69-63,145,NR,Q3
Nov 8,Central Michigan,Home,W,85-54,,NR,Q4
Nov 12,Tennessee-Martin,Home,L,78-67,,NR,Q4
Nov 15,San Francisco,Away,L,75-64,125,NR,Q2
Nov 19,Massachusetts-Lowell,Home,W,87-77,323,NR,Q4
Nov 24,Princeton,Neutral,W,88-64,252,NR,Q4
Nov 25,UC San Diego,Neutral,L,87-77,124,NR,Q3
Nov 26,Liberty,Neutral,W,74-64,77,NR,Q2
Dec 2,Washington State,Home,W,64-60,136,NR,Q3
Dec 6,Northern Illinois,Home,W,84-55,,NR,Q4
Dec 14,North Central (IL),Home,W,86-53,,NR,Q4
Dec 18,Indiana State,Away,W,108-99,217,NR,Q3
Dec 21,Southern Illinois,Home,W,73-69,117,NR,Q3
Dec 29,Evansville,Home,W,76-68,292,NR,Q4
Jan 1,Belmont,Away,L,88-78,61,NR,Q1
Jan 4,Murray State,Away,L,86-66,,NR,Q4
Jan 7,Drake,Home,W,93-66,192,NR,Q4
Jan 10,Northern Iowa,Home,W,75-69,,NR,Q4
Jan 13,Evansville,Away,W,94-90,292,NR,Q4
Jan 17,Illinois State,Away,L,88-62,,NR,Q4
Jan 21,Indiana State,Home,W,75-68,217,NR,Q4
Jan 24,Illinois-Chicago,Home,L,85-70,,NR,Q4
Jan 31,Drake,Away,W,87-73,192,NR,Q3
Feb 3,Valparaiso,Home,W,72-65,162,NR,Q4
Feb 6,Northern Iowa,Away,L,61-49,,NR,Q4
Feb 9,Belmont,Home,W,95-84,61,NR,Q2
Feb 15,Southern Illinois,Away,TBD,,117,NR,Q2
Feb 18,Valparaiso,Away,TBD,,162,NR,Q3
Feb 21,Illinois State,Home,TBD,,,NR,Q4
Feb 24,Illinois-Chicago,Away,TBD,,,NR,Q4
Mar 1,Murray State,Home,TBD,,,NR,Q4
