date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Southern Mississippi,Home,W,85-79,,NR,Q4
Nov 7,Green Bay,Home,W,83-76,221,NR,Q4
Nov 11,DePaul,Away,W,66-53,108,NR,Q2
Nov 15,RIT,Home,W,80-64,,NR,Q4
Nov 18,Vermont,Home,W,94-90,215,NR,Q4
Nov 24,Virginia Military Institute,Neutral,W,78-70,,NR,Q4
Nov 26,Bucknell,Neutral,W,73-71,333,NR,Q4
Nov 29,Canisius,Away,W,71-53,344,NR,Q4
Dec 6,St. Bonaventure,Home,L,77-69,145,NR,Q3
Dec 9,Maryland-Baltimore County,Away,W,83-79,,NR,Q4
Dec 14,East Carolina,Away,L,73-70,269,NR,Q4
Dec 20,Western Michigan,Away,W,88-71,,NR,Q4
Dec 22,Penn State Behrend,Home,W,92-63,,NR,Q4
Dec 31,Northern Illinois,Away,W,81-67,,NR,Q4
Jan 3,Ball State,Home,W,85-72,,NR,Q4
Jan 10,Ohio,Away,L,91-80,213,NR,Q3
Jan 13,Kent State,Home,L,87-81,143,NR,Q3
Jan 17,Miami (OH),Away,L,105-102,50,NR,Q1
Jan 20,Akron,Home,L,82-63,62,NR,Q2
Jan 23,Massachusetts,Home,L,68-67,189,NR,Q4
Jan 27,Bowling Green,Away,W,89-78,140,NR,Q3
Jan 31,Ohio,Home,L,95-83,213,NR,Q4
Feb 3,Miami (OH),Home,L,73-71,50,NR,Q2
Feb 7,South Alabama,Away,L,81-69,169,NR,Q3
Feb 11,Ball State,Away,W,63-53,,NR,Q4
Feb 17,Northern Illinois,Home,TBD,,,NR,Q4
Feb 21,Massachusetts,Away,TBD,,189,NR,Q3
Feb 24,Akron,Away,TBD,,62,NR,Q1
Feb 28,Central Michigan,Home,TBD,,,NR,Q4
Mar 3,Eastern Michigan,Home,TBD,,,NR,Q4
Mar 6,Toledo,Away,TBD,,172,NR,Q3
