date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Southern California,Away,L,94-64,48,NR,Q1
Nov 5,Pacific Lutheran,Home,W,101-79,,NR,Q4
Nov 8,Seattle,Away,W,73-71,,NR,Q4
Nov 12,Colorado State,Away,L,93-79,95,NR,Q2
Nov 14,Montana,Away,L,90-82,182,NR,Q3
Nov 20,Utah,Away,W,92-85,128,NR,Q2
Nov 24,Northern Arizona,Away,L,93-87,302,NR,Q4
Nov 25,Southeast Missouri State,Neutral,L,84-68,,NR,Q4
Nov 29,Redlands,Home,W,87-81,,NR,Q4
Dec 4,Cal State Fullerton,Away,W,94-91,,NR,Q4
Dec 6,UC Riverside,Home,L,88-84,291,NR,Q4
Dec 16,Montana State,Home,L,83-80,,NR,Q4
Dec 19,UCLA,Away,L,108-87,40,NR,Q1
Dec 21,Idaho,Home,L,83-80,167,NR,Q4
Jan 1,UC San Diego,Home,W,67-65,125,NR,Q3
Jan 3,Long Beach State,Away,L,74-66,,NR,Q4
Jan 8,Cal State Northridge,Away,L,95-90,,NR,Q4
Jan 10,UC Davis,Home,W,84-78,166,NR,Q4
Jan 15,Hawaii,Home,L,86-66,98,NR,Q3
Jan 22,UC Santa Barbara,Away,L,107-67,133,NR,Q2
Jan 24,Cal State Fullerton,Home,L,93-78,,NR,Q4
Jan 29,Cal State Bakersfield,Away,W,104-79,,NR,Q4
Jan 31,UC Riverside,Away,W,94-87,291,NR,Q4
Feb 5,Cal State Northridge,Home,L,97-96,,NR,Q4
Feb 7,UC Davis,Away,L,67-58,166,NR,Q3
Feb 12,UC Irvine,Home,W,79-73,120,NR,Q3
Feb 14,UC Santa Barbara,Home,W,89-79,133,NR,Q3
Feb 20,Hawaii,Away,TBD,,98,NR,Q2
Feb 26,Long Beach State,Home,TBD,,,NR,Q4
Feb 28,UC San Diego,Away,TBD,,125,NR,Q2
Mar 5,UC Irvine,Away,TBD,,120,NR,Q2
Mar 7,Cal State Bakersfield,Home,TBD,,,NR,Q4
