date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,South Carolina Upstate,Home,W,87-75,293,NR,Q4
Nov 7,UC Irvine,Away,W,69-61,120,NR,Q2
Nov 14,Western Illinois,Home,W,69-59,,NR,Q4
Nov 18,UC Riverside,Home,W,80-57,291,NR,Q4
Nov 21,Grambling,Home,W,72-59,275,NR,Q4
Nov 25,San Diego,Neutral,W,76-61,223,NR,Q4
Nov 29,Oregon State,Away,W,75-69,184,NR,Q3
Dec 1,Colorado,Away,L,78-70,73,NR,Q1
Dec 3,Brigham Young,Neutral,L,91-60,20,NR,Q1
Dec 6,Utah,Away,L,91-85,128,NR,Q2
Dec 12,Eastern Washington,Away,W,88-83,,NR,Q4
Dec 16,Southern,Home,W,75-67,279,NR,Q4
Dec 20,Sacramento State,Home,W,74-67,,NR,Q4
Dec 29,Utah Valley,Away,L,73-66,88,NR,Q2
Jan 1,UT Arlington,Away,L,63-51,158,NR,Q3
Jan 3,Tarleton State,Away,L,81-76,,NR,Q4
Jan 8,Utah Tech,Home,W,84-72,156,NR,Q3
Jan 10,Southern Utah,Home,W,58-55,282,NR,Q4
Jan 15,Abilene Christian,Away,W,74-58,231,NR,Q3
Jan 21,Utah Tech,Home,W,73-64,156,NR,Q3
Jan 24,Utah Valley,Home,W,78-71,88,NR,Q3
Jan 31,UT Arlington,Away,W,87-77,158,NR,Q3
Feb 5,Tarleton State,Home,W,56-55,,NR,Q4
Feb 7,Abilene Christian,Home,W,65-63,231,NR,Q4
Feb 12,Southern Utah,Away,W,83-66,282,NR,Q4
Feb 14,Utah Tech,Away,L,70-65,156,NR,Q3
Feb 19,Utah Valley,Away,TBD,,88,NR,Q2
Feb 26,UT Arlington,Home,TBD,,158,NR,Q3
Feb 28,Tarleton State,Home,TBD,,,NR,Q4
Mar 5,Abilene Christian,Home,TBD,,231,NR,Q4
Mar 7,Southern Utah,Away,TBD,,282,NR,Q4
