date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Wisconsin,Away,L,96-64,33,NR,Q1
Nov 6,West Virginia,Away,L,73-65,54,NR,Q1
Nov 9,Western Michigan,Home,W,91-82,,NR,Q4
Nov 13,Mid-Atlantic Christian,Home,W,108-55,,NR,Q4
Nov 19,Weber State,Away,L,91-85,,NR,Q4
Nov 21,UT Arlington,Neutral,W,71-67,158,NR,Q3
Nov 25,Wake Forest,Away,L,99-51,64,NR,Q1
Dec 2,Penn State,Away,L,87-76,122,NR,Q2
Dec 7,VU Lynchburg,Home,W,149-62,,NR,Q4
Dec 14,Ball State,Home,W,69-64,,NR,Q4
Dec 17,Gonzaga,Away,L,98-70,6,NR,Q1
Dec 21,Minnesota,Away,L,78-50,86,NR,Q2
Dec 23,Green Bay,Home,W,102-79,224,NR,Q4
Dec 29,Hofstra,Away,L,86-72,102,NR,Q2
Dec 31,Monmouth,Away,W,68-65,193,NR,Q3
Jan 3,Northeastern,Home,W,97-82,273,NR,Q4
Jan 8,Hampton,Home,W,86-72,258,NR,Q4
Jan 10,Elon,Away,L,83-82,192,NR,Q3
Jan 17,UNC Wilmington,Away,L,78-75,,NR,Q4
Jan 22,College of Charleston,Away,L,87-83,,NR,Q4
Jan 24,Monmouth,Home,L,88-73,193,NR,Q4
Jan 29,Stony Brook,Home,L,81-69,212,NR,Q4
Jan 31,William & Mary,Away,W,104-96,114,NR,Q2
Feb 5,Drexel,Home,W,81-60,217,NR,Q4
Feb 7,North Carolina A&T,Away,W,79-71,,NR,Q4
Feb 15,College of Charleston,Home,L,62-57,,NR,Q4
Feb 19,William & Mary,Home,TBD,,114,NR,Q3
Feb 21,UNC Wilmington,Home,TBD,,,NR,Q4
Feb 26,Drexel,Away,TBD,,217,NR,Q3
Feb 28,Towson,Away,TBD,,176,NR,Q3
Mar 3,North Carolina A&T,Home,TBD,,,NR,Q4
