date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Dayton,Away,L,88-48,89,NR,Q2
Nov 6,Allegheny,Home,W,84-43,,NR,Q4
Nov 8,St. Bonaventure,Away,L,89-70,145,NR,Q3
Nov 12,Mercyhurst,Home,W,58-55,283,NR,Q4
Nov 17,High Point,Away,L,93-50,75,NR,Q1
Nov 21,Maryland-Eastern Shore,Home,W,60-57,,NR,Q4
Nov 23,Binghamton,Home,W,75-66,362,NR,Q4
Nov 29,Buffalo,Home,L,71-53,177,NR,Q4
Dec 5,Saint Peter's,Away,L,69-57,226,NR,Q3
Dec 7,Siena,Away,L,74-52,188,NR,Q3
Dec 13,Maine,Away,W,70-43,343,NR,Q4
Dec 16,Rhode Island,Away,L,62-45,136,NR,Q3
Dec 22,Duquesne,Away,L,103-59,117,NR,Q2
Jan 2,Fairfield,Home,W,85-81,242,NR,Q4
Jan 4,Sacred Heart,Home,W,82-78,297,NR,Q4
Jan 9,Manhattan,Away,W,70-64,321,NR,Q4
Jan 11,Iona,Away,L,74-48,237,NR,Q3
Jan 14,Niagara,Home,L,59-54,342,NR,Q4
Jan 17,Mount St. Mary's,Home,L,78-68,299,NR,Q4
Jan 22,Sacred Heart,Away,L,69-66,297,NR,Q4
Jan 24,Fairfield,Away,L,61-55,242,NR,Q4
Jan 30,Marist,Home,L,88-86,170,NR,Q4
Feb 1,Siena,Home,L,78-63,188,NR,Q4
Feb 3,Niagara,Away,L,65-56,342,NR,Q4
Feb 5,Quinnipiac,Away,L,75-60,202,NR,Q3
Feb 13,Iona,Home,L,69-63,237,NR,Q4
Feb 15,Manhattan,Home,L,69-65,321,NR,Q4
Feb 20,Rider,Away,TBD,,357,NR,Q4
Feb 22,Mount St. Mary's,Away,TBD,,299,NR,Q4
Feb 27,Merrimack,Home,TBD,,185,NR,Q4
Mar 1,Quinnipiac,Home,TBD,,202,NR,Q4
