date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,North Carolina,Away,L,94-54,25,NR,Q1
Nov 8,Champion Christian,Home,W,110-63,,NR,Q4
Nov 11,Arkansas,Away,L,93-56,18,NR,Q1
Nov 16,Samford,Home,L,84-77,210,NR,Q4
Nov 20,North Texas,Away,L,74-56,148,NR,Q3
Nov 23,Eastern Washington,Home,W,92-65,,NR,Q4
Nov 25,Eastern Illinois,Home,W,81-60,317,NR,Q4
Nov 29,East Tennessee State,Away,L,80-57,129,NR,Q2
Dec 3,Little Rock,Home,W,85-47,307,NR,Q4
Dec 7,East Texas A&M,Away,L,75-68,296,NR,Q4
Dec 13,Vanderbilt,Away,L,83-72,13,NR,Q1
Dec 17,Kansas Christian,Home,W,102-47,,NR,Q4
Dec 21,Southern Methodist,Away,L,99-82,36,NR,Q1
Jan 1,Florida Gulf Coast,Home,W,85-83,257,NR,Q4
Jan 3,Stetson,Home,W,93-73,325,NR,Q4
Jan 8,Bellarmine,Away,L,84-78,288,NR,Q4
Jan 10,Eastern Kentucky,Away,L,79-75,281,NR,Q4
Jan 15,Jacksonville,Home,W,62-60,306,NR,Q4
Jan 17,North Florida,Home,W,98-69,337,NR,Q4
Jan 22,West Georgia,Away,W,86-65,,NR,Q4
Jan 28,Queens (NC),Away,W,100-90,205,NR,Q3
Jan 31,Eastern Kentucky,Home,W,90-81,281,NR,Q4
Feb 4,North Alabama,Home,W,81-60,,NR,Q4
Feb 7,Lipscomb,Away,W,86-78,186,NR,Q3
Feb 9,North Alabama,Away,W,72-65,,NR,Q4
Feb 11,Bellarmine,Home,W,84-76,288,NR,Q4
Feb 14,West Georgia,Home,W,79-62,,NR,Q4
Feb 19,Stetson,Away,TBD,,325,NR,Q4
Feb 21,Florida Gulf Coast,Away,TBD,,257,NR,Q4
Feb 25,Austin Peay,Away,TBD,,134,NR,Q2
Feb 28,Queens (NC),Home,TBD,,205,NR,Q4
