date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Vermont State–Johnson,Home,W,117-55,,NR,Q4
Nov 6,Quinnipiac,Away,L,71-49,202,NR,Q3
Nov 11,Boston College,Away,W,60-59,152,NR,Q3
Nov 16,Massachusetts,Away,L,84-77,191,NR,Q3
Nov 21,Rutgers,Away,W,67-54,155,NR,Q3
Nov 24,Sacred Heart,Home,W,108-106,297,NR,Q4
Nov 30,Johnson & Wales (RI),Home,W,122-57,,NR,Q4
Dec 3,Seton Hall,Away,L,77-61,49,NR,Q1
Dec 7,Northeastern,Away,L,73-56,273,NR,Q4
Dec 13,Binghamton,Away,W,84-67,362,NR,Q4
Dec 18,Fairfield,Home,L,84-70,242,NR,Q4
Jan 2,Long Island University,Away,L,84-78,195,NR,Q3
Jan 4,New Haven,Home,W,72-61,329,NR,Q4
Jan 8,Stonehill,Home,W,76-69,339,NR,Q4
Jan 10,Le Moyne,Away,W,69-59,280,NR,Q4
Jan 17,Saint Francis (PA),Away,W,98-90,,NR,Q4
Jan 19,Mercyhurst,Away,L,79-61,283,NR,Q4
Jan 23,FDU,Home,L,76-66,328,NR,Q4
Jan 26,Stonehill,Away,L,61-59,339,NR,Q4
Jan 29,Wagner,Away,W,62-55,315,NR,Q4
Jan 31,Long Island University,Home,L,80-59,195,NR,Q4
Feb 5,Chicago State,Home,W,78-67,,NR,Q4
Feb 7,Wagner,Home,W,84-67,315,NR,Q4
Feb 12,New Haven,Away,W,81-76,329,NR,Q4
Feb 14,FDU,Away,W,63-57,328,NR,Q4
Feb 19,Le Moyne,Home,TBD,,280,NR,Q4
Feb 21,Chicago State,Away,TBD,,,NR,Q4
Feb 26,Mercyhurst,Home,TBD,,283,NR,Q4
Feb 28,Saint Francis (PA),Home,TBD,,,NR,Q4
