date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Union (KY),Home,W,92-39,,NR,Q4
Nov 7,Saint Mary's (CA),Away,L,87-66,26,NR,Q1
Nov 8,Nevada-Las Vegas,Away,L,101-69,,NR,Q4
Nov 15,Florida Gulf Coast,Away,L,91-73,257,NR,Q4
Nov 19,South Carolina State,Away,W,78-66,358,NR,Q4
Nov 22,North Alabama,Home,W,71-57,,NR,Q4
Nov 28,Tennessee Wesleyan,Home,W,109-59,,NR,Q4
Nov 30,Tennessee State,Home,L,70-64,235,NR,Q4
Dec 6,Southeast Missouri State,Home,L,74-70,,NR,Q4
Dec 9,Oakwood,Home,W,103-46,,NR,Q4
Dec 13,Auburn,Neutral,L,92-78,32,NR,Q1
Dec 17,Bellarmine,Away,L,79-64,288,NR,Q4
Dec 21,Alabama A&M,Away,W,73-66,311,NR,Q4
Jan 1,UNC Greensboro,Away,L,77-72,294,NR,Q4
Jan 3,Virginia Military Institute,Away,L,79-71,,NR,Q4
Jan 7,Furman,Home,L,78-67,194,NR,Q4
Jan 10,Samford,Home,W,88-79,210,NR,Q4
Jan 14,Wofford,Away,W,76-67,229,NR,Q3
Jan 17,Western Carolina,Away,W,90-82,263,NR,Q4
Jan 21,East Tennessee State,Home,L,67-66,129,NR,Q3
Jan 24,Samford,Away,L,75-64,210,NR,Q3
Jan 29,Wofford,Home,L,81-55,229,NR,Q4
Feb 1,Furman,Away,L,75-70,194,NR,Q3
Feb 5,Mercer,Home,W,79-75,153,NR,Q3
Feb 7,The Citadel,Home,L,78-71,351,NR,Q4
Feb 11,East Tennessee State,Away,L,73-61,129,NR,Q2
Feb 14,Western Carolina,Home,L,81-76,263,NR,Q4
Feb 19,Mercer,Away,TBD,,153,NR,Q3
Feb 21,The Citadel,Away,TBD,,351,NR,Q4
Feb 26,UNC Greensboro,Home,TBD,,294,NR,Q4
Feb 28,Virginia Military Institute,Home,TBD,,,NR,Q4
