date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,DePaul,Away,L,92-62,108,NR,Q2
Nov 6,Saint Louis,Away,L,108-86,17,NR,Q1
Nov 11,Butler,Away,L,98-66,80,NR,Q2
Nov 15,Illinois-Chicago,Home,L,67-63,,NR,Q4
Nov 18,Minnesota,Away,L,66-54,86,NR,Q2
Nov 20,Iowa,Away,L,93-54,27,NR,Q1
Nov 25,Purdue Fort Wayne,Away,L,90-77,253,NR,Q4
Nov 28,Youngstown State,Away,L,87-64,,NR,Q4
Dec 1,Saint Xavier (IL),Home,W,85-62,,NR,Q4
Dec 6,Illinois State,Away,L,95-53,,NR,Q4
Dec 14,Loyola (IL),Away,W,84-75,,NR,Q4
Dec 16,Bowling Green,Away,L,76-55,141,NR,Q3
Dec 20,Indiana,Away,L,78-58,34,NR,Q1
Jan 2,Wagner,Home,L,79-72,315,NR,Q4
Jan 4,Long Island University,Home,L,74-55,195,NR,Q4
Jan 8,FDU,Away,L,70-63,328,NR,Q4
Jan 10,Stonehill,Away,L,85-82,339,NR,Q4
Jan 17,Le Moyne,Home,L,72-57,280,NR,Q4
Jan 19,New Haven,Home,L,62-56,329,NR,Q4
Jan 23,Saint Francis (PA),Away,L,81-60,,NR,Q4
Jan 25,Mercyhurst,Away,L,61-59,283,NR,Q4
Jan 31,Mercyhurst,Home,W,78-74,283,NR,Q4
Feb 5,Central Connecticut State,Away,L,78-67,,NR,Q4
Feb 7,New Haven,Away,W,63-57,329,NR,Q4
Feb 9,Saint Francis (PA),Home,W,80-75,,NR,Q4
Feb 12,Stonehill,Home,W,68-55,339,NR,Q4
Feb 14,Le Moyne,Away,L,81-63,280,NR,Q4
Feb 19,FDU,Home,TBD,,328,NR,Q4
Feb 21,Central Connecticut State,Home,TBD,,,NR,Q4
Feb 26,Long Island University,Away,TBD,,195,NR,Q3
Feb 28,Wagner,Away,TBD,,315,NR,Q4
