date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,New Hampshire,Home,W,88-38,334,NR,Q4
Nov 7,Gardner-Webb,Home,W,97-59,363,NR,Q4
Nov 11,Morehead State,Home,W,83-56,,NR,Q4
Nov 15,Georgetown,Away,L,79-74,91,NR,Q2
Nov 17,North Alabama,Home,W,81-61,,NR,Q4
Nov 21,West Virginia,Neutral,W,70-67,54,NR,Q2
Nov 23,Georgia,Neutral,W,97-94,39,NR,Q1
Nov 28,Alabama A&M,Home,W,92-56,311,NR,Q4
Dec 3,Alabama,Away,L,90-84,21,NR,Q1
Dec 9,Brigham Young,Neutral,L,67-64,20,NR,Q1
Dec 13,Mercer,Home,W,70-63,154,NR,Q3
Dec 16,South Carolina,Home,W,68-61,112,NR,Q3
Dec 21,Cincinnati,Neutral,W,68-65,63,NR,Q2
Dec 31,Syracuse,Away,W,64-61,69,NR,Q1
Jan 3,Pittsburgh,Away,W,73-68,122,NR,Q2
Jan 7,Southern Methodist,Home,W,74-70,36,NR,Q2
Jan 10,Notre Dame,Away,W,76-61,87,NR,Q2
Jan 13,Boston College,Home,W,74-50,153,NR,Q3
Jan 17,Miami (FL),Home,W,69-59,35,NR,Q2
Jan 20,NC State,Home,L,80-76,29,NR,Q1
Jan 24,Georgia Tech,Away,W,77-63,163,NR,Q3
Jan 31,Pittsburgh,Home,W,63-52,122,NR,Q3
Feb 4,Stanford,Away,W,66-64,70,NR,Q1
Feb 7,California,Away,W,77-55,60,NR,Q1
Feb 11,Virginia Tech,Home,L,76-66,56,NR,Q2
Feb 14,Duke,Away,L,67-54,2,NR,Q1
Feb 18,Wake Forest,Away,TBD,,64,NR,Q1
Feb 21,Florida State,Home,TBD,,82,NR,Q3
Feb 28,Louisville,Home,TBD,,12,NR,Q1
Mar 3,North Carolina,Away,TBD,,25,NR,Q1
Mar 7,Georgia Tech,Home,TBD,,163,NR,Q4
