date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Loyola (IL),Away,L,91-88,,NR,Q4
Nov 6,Capital,Home,W,71-70,,NR,Q4
Nov 10,Northwestern,Away,L,110-63,77,NR,Q2
Nov 15,Kent State,Neutral,L,102-95,144,NR,Q3
Nov 16,Radford,Neutral,W,87-82,239,NR,Q4
Nov 19,Valparaiso,Home,L,90-75,163,NR,Q4
Nov 22,Kent State,Away,L,91-71,144,NR,Q3
Nov 25,Waynesburg,Home,W,109-56,,NR,Q4
Nov 28,Missouri,Away,L,86-59,66,NR,Q1
Dec 3,Northern Kentucky,Away,L,95-80,199,NR,Q3
Dec 6,Detroit Mercy,Home,L,71-59,250,NR,Q4
Dec 14,Oakland City,Home,W,96-52,,NR,Q4
Dec 17,UAB,Away,L,101-77,119,NR,Q2
Dec 21,Milwaukee,Home,L,81-71,246,NR,Q4
Dec 29,IU Indy,Home,W,99-86,313,NR,Q4
Jan 4,Purdue Fort Wayne,Away,L,74-71,253,NR,Q4
Jan 9,Oakland,Away,L,97-74,154,NR,Q3
Jan 11,Detroit Mercy,Away,L,94-84,250,NR,Q4
Jan 15,Green Bay,Home,L,88-73,224,NR,Q4
Jan 17,Youngstown State,Home,W,80-78,,NR,Q4
Jan 21,Wright State,Away,W,85-79,,NR,Q4
Jan 30,Green Bay,Away,W,89-82,224,NR,Q3
Feb 1,Milwaukee,Away,W,90-88,246,NR,Q4
Feb 4,Oakland,Home,W,91-78,154,NR,Q3
Feb 7,IU Indy,Away,L,82-74,313,NR,Q4
Feb 12,Robert Morris,Home,L,85-68,161,NR,Q4
Feb 15,Wright State,Home,L,102-90,,NR,Q4
Feb 18,Youngstown State,Away,TBD,,,NR,Q4
Feb 22,Purdue Fort Wayne,Home,TBD,,253,NR,Q4
Feb 25,Northern Kentucky,Home,TBD,,199,NR,Q4
Feb 28,Robert Morris,Away,TBD,,161,NR,Q3
