date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Tusculum,Home,W,79-58,,NR,Q4
Nov 7,Liberty,Away,L,90-75,74,NR,Q1
Nov 8,Florida Atlantic,Neutral,L,94-77,,NR,Q4
Nov 14,South Carolina State,Home,W,88-61,358,NR,Q4
Nov 17,Drake,Home,L,71-62,200,NR,Q4
Nov 21,Massachusetts,Neutral,W,69-65,191,NR,Q3
Nov 23,Yale,Neutral,L,74-63,65,NR,Q2
Nov 24,Evansville,Neutral,W,78-59,292,NR,Q4
Nov 30,Belmont,Home,L,96-73,55,NR,Q2
Dec 10,South Florida,Away,L,81-75,,NR,Q4
Dec 14,Charlotte,Home,W,74-67,189,NR,Q4
Dec 17,The Citadel,Home,W,82-78,351,NR,Q4
Dec 21,Northern Kentucky,Away,W,85-74,199,NR,Q3
Dec 29,Drexel,Home,W,72-63,217,NR,Q4
Dec 31,Elon,Away,W,85-81,192,NR,Q3
Jan 5,William & Mary,Home,W,88-79,114,NR,Q3
Jan 10,Hampton,Home,W,74-70,258,NR,Q4
Jan 15,Towson,Away,L,61-52,176,NR,Q3
Jan 17,Stony Brook,Away,L,112-106,212,NR,Q3
Jan 22,Campbell,Home,W,87-83,207,NR,Q4
Jan 24,Elon,Home,W,80-70,192,NR,Q4
Jan 29,Hofstra,Away,W,66-64,102,NR,Q2
Jan 31,Northeastern,Away,W,89-84,273,NR,Q4
Feb 5,North Carolina A&T,Home,W,78-62,,NR,Q4
Feb 9,UNC Wilmington,Home,L,76-64,,NR,Q4
Feb 12,Hofstra,Home,L,66-62,102,NR,Q3
Feb 15,Campbell,Away,W,62-57,207,NR,Q3
Feb 19,North Carolina A&T,Away,TBD,,,NR,Q4
Feb 21,Monmouth,Home,TBD,,193,NR,Q4
Feb 26,Hampton,Away,TBD,,258,NR,Q4
Feb 28,UNC Wilmington,Away,TBD,,,NR,Q4
