date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Incarnate Word,Home,W,98-64,,NR,Q4
Nov 9,Omaha,Home,W,97-74,249,NR,Q4
Nov 12,Cal Poly,Home,W,93-79,238,NR,Q4
Nov 16,Loyola (IL),Away,W,80-67,,NR,Q4
Nov 21,Denver,Home,L,83-81,233,NR,Q4
Nov 26,Virginia Tech,Neutral,L,66-64,58,NR,Q2
Nov 27,Wichita State,Neutral,W,76-70,,NR,Q4
Nov 28,South Florida,Neutral,W,83-68,,NR,Q4
Dec 6,Colorado,Home,W,91-86,73,NR,Q2
Dec 9,Dartmouth,Home,W,76-55,252,NR,Q4
Dec 14,Northern New Mexico,Home,W,104-54,,NR,Q4
Dec 20,Utah State,Away,L,100-58,23,NR,Q1
Dec 30,Nevada,Home,L,75-62,59,NR,Q2
Jan 3,Grand Canyon,Away,W,70-60,76,NR,Q2
Jan 6,New Mexico,Home,L,80-70,44,NR,Q2
Jan 9,Nevada-Las Vegas,Home,W,70-62,,NR,Q4
Jan 13,Fresno State,Away,L,79-69,137,NR,Q3
Jan 16,Boise State,Away,L,79-73,60,NR,Q1
Jan 20,Air Force,Home,W,81-52,346,NR,Q4
Jan 23,Utah State,Home,L,65-61,23,NR,Q1
Jan 28,San Diego State,Away,L,73-50,41,NR,Q1
Jan 31,Wyoming,Away,L,68-57,101,NR,Q2
Feb 7,San Jose State,Home,W,65-57,265,NR,Q4
Feb 10,Air Force,Away,W,91-74,346,NR,Q4
Feb 14,Wyoming,Home,W,79-68,101,NR,Q3
Feb 18,Nevada-Las Vegas,Away,TBD,,,NR,Q4
Feb 21,San Diego State,Home,TBD,,41,NR,Q2
Feb 24,Fresno State,Home,TBD,,137,NR,Q3
Feb 28,San Jose State,Away,TBD,,265,NR,Q4
Mar 4,New Mexico,Away,TBD,,44,NR,Q1
Mar 7,Boise State,Home,TBD,,60,NR,Q2
