date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 5,South Dakota,Home,W,92-76,276,NR,Q4
Nov 11,Gonzaga,Away,L,90-63,6,NR,Q1
Nov 14,Maryland-Eastern Shore,Home,W,84-45,,NR,Q4
Nov 19,North Dakota,Home,W,75-60,274,NR,Q4
Nov 24,Baylor,Neutral,L,81-74,47,NR,Q1
Nov 25,Iowa State,Neutral,L,78-60,8,NR,Q1
Nov 27,Oregon,Neutral,W,76-66,107,NR,Q3
Dec 2,Nicholls State,Home,W,96-76,,NR,Q4
Dec 7,Nebraska,Away,L,71-50,11,NR,Q1
Dec 13,Kansas State,Home,L,83-76,100,NR,Q3
Dec 17,Xavier,Away,W,98-57,97,NR,Q2
Dec 20,Marquette,Home,W,84-63,111,NR,Q3
Dec 22,Utah Tech,Home,W,92-69,156,NR,Q3
Dec 30,Butler,Home,W,89-85,80,NR,Q3
Jan 4,Seton Hall,Away,L,56-54,49,NR,Q1
Jan 7,Villanova,Away,W,76-72,30,NR,Q1
Jan 10,St. John's (NY),Home,L,90-73,24,NR,Q1
Jan 13,Georgetown,Home,W,86-83,90,NR,Q3
Jan 16,Providence,Away,L,93-88,79,NR,Q2
Jan 21,Xavier,Home,W,94-93,97,NR,Q3
Jan 27,Marquette,Away,L,86-62,111,NR,Q2
Jan 31,Connecticut,Home,L,85-58,10,NR,Q1
Feb 4,Georgetown,Away,L,76-68,90,NR,Q2
Feb 7,Seton Hall,Home,W,69-68,49,NR,Q2
Feb 11,DePaul,Away,L,72-71,108,NR,Q2
Feb 14,Villanova,Home,L,80-69,30,NR,Q1
Feb 18,Connecticut,Away,TBD,,10,NR,Q1
Feb 21,St. John's (NY),Away,TBD,,24,NR,Q1
Feb 25,DePaul,Home,TBD,,108,NR,Q3
Feb 28,Providence,Home,TBD,,79,NR,Q3
Mar 4,Butler,Away,TBD,,80,NR,Q2
