date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 9,Marist,Home,L,75-56,170,NR,Q4
Nov 12,Bryant,Away,L,82-75,352,NR,Q4
Nov 16,Appalachian State,Home,L,85-77,,NR,Q4
Nov 18,Maine-Augusta,Home,W,113-68,,NR,Q4
Nov 29,Saint Peter's,Away,W,87-61,226,NR,Q3
Dec 3,New Hampshire,Home,W,69-68,334,NR,Q4
Dec 6,Wyoming,Away,L,93-80,101,NR,Q2
Dec 9,Colorado State,Away,L,76-55,95,NR,Q2
Dec 13,Boston University,Home,W,77-64,152,NR,Q3
Dec 16,Holy Cross,Away,W,89-64,327,NR,Q4
Dec 19,Sacred Heart,Away,L,85-63,297,NR,Q4
Dec 29,Florida,Away,L,94-72,9,NR,Q1
Jan 1,Elms,Home,W,107-43,,NR,Q4
Jan 5,Harvard,Away,W,76-68,160,NR,Q3
Jan 10,Cornell,Away,W,102-91,146,NR,Q3
Jan 17,Pennsylvania,Home,L,84-74,,NR,Q4
Jan 19,Princeton,Home,W,71-69,254,NR,Q4
Jan 24,Columbia,Home,L,79-69,180,NR,Q4
Jan 30,Yale,Away,L,83-68,65,NR,Q1
Jan 31,Brown,Away,W,77-70,285,NR,Q4
Feb 7,Harvard,Home,L,71-58,160,NR,Q3
Feb 13,Yale,Home,L,83-70,65,NR,Q2
Feb 14,Brown,Home,L,79-76,285,NR,Q4
Feb 21,Columbia,Away,TBD,,180,NR,Q3
Feb 27,Pennsylvania,Away,TBD,,,NR,Q4
Feb 28,Princeton,Away,TBD,,254,NR,Q4
Mar 7,Cornell,Home,TBD,,146,NR,Q3
