date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,DeSales,Home,W,97-63,,NR,Q4
Nov 7,Washington State,Home,W,85-69,135,NR,Q3
Nov 11,Charlotte,Away,W,62-55,189,NR,Q3
Nov 15,Bowling Green,Home,W,91-87,141,NR,Q3
Nov 21,Boston College,Neutral,W,59-49,152,NR,Q3
Nov 23,Utah State,Neutral,L,94-60,23,NR,Q1
Nov 28,North Carolina A&T,Home,W,90-74,,NR,Q4
Dec 4,The Citadel,Home,W,79-63,351,NR,Q4
Dec 7,Saint Mary's (CA),Home,L,70-61,26,NR,Q1
Dec 13,Mercyhurst,Home,W,80-47,283,NR,Q4
Dec 18,Temple,Home,L,68-63,162,NR,Q4
Dec 22,Kansas,Away,L,90-61,14,NR,Q1
Dec 30,Duquesne,Home,L,89-83,117,NR,Q3
Jan 3,Saint Joseph's,Away,W,62-56,157,NR,Q3
Jan 7,Loyola (IL),Away,W,79-64,,NR,Q4
Jan 10,Rhode Island,Home,L,70-45,136,NR,Q3
Jan 14,George Washington,Away,W,84-79,84,NR,Q2
Jan 21,Fordham,Home,W,68-63,178,NR,Q4
Jan 24,Virginia Commonwealth,Home,L,75-69,,NR,Q4
Jan 28,George Mason,Away,L,60-52,91,NR,Q2
Jan 31,Richmond,Away,W,79-54,142,NR,Q3
Feb 3,Saint Louis,Home,L,91-82,17,NR,Q1
Feb 6,Loyola (IL),Home,W,84-64,,NR,Q4
Feb 9,Mid-Atlantic Christian,Home,W,114-53,,NR,Q4
Feb 15,Dayton,Away,L,70-59,89,NR,Q2
Feb 18,Richmond,Home,TBD,,142,NR,Q3
Feb 21,Fordham,Away,TBD,,178,NR,Q3
Feb 25,Duquesne,Away,TBD,,117,NR,Q2
Mar 1,La Salle,Home,TBD,,241,NR,Q4
Mar 4,Saint Joseph's,Home,TBD,,157,NR,Q3
Mar 7,St. Bonaventure,Away,TBD,,145,NR,Q3
