date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Canisius,Home,W,88-48,348,NR,Q4
Nov 8,Maryland-Baltimore County,Home,W,77-71,,NR,Q4
Nov 11,Cincinnati,Away,L,74-62,63,NR,Q1
Nov 15,Bethune-Cookman,Home,W,91-82,251,NR,Q4
Nov 19,Marquette,Away,W,77-71,111,NR,Q2
Nov 22,North Carolina Central,Home,W,74-55,340,NR,Q4
Nov 27,Georgetown,Neutral,W,84-79,90,NR,Q2
Nov 28,Brigham Young,Neutral,L,83-79,20,NR,Q1
Dec 2,East Tennessee State,Home,W,88-71,129,NR,Q3
Dec 6,Virginia,Neutral,L,86-73,19,NR,Q1
Dec 13,North Florida,Home,W,84-61,337,NR,Q4
Dec 16,Florida State,Home,W,97-69,82,NR,Q3
Dec 20,Liberty,Home,L,64-61,74,NR,Q2
Dec 31,Fordham,Home,W,63-56,178,NR,Q4
Jan 3,Loyola (IL),Away,W,70-68,,NR,Q4
Jan 6,George Washington,Home,W,79-72,84,NR,Q3
Jan 13,Duquesne,Away,W,71-65,117,NR,Q2
Jan 16,Loyola (IL),Home,W,78-51,,NR,Q4
Jan 21,La Salle,Away,L,67-64,241,NR,Q4
Jan 24,Saint Joseph's,Away,L,81-74,157,NR,Q3
Jan 27,Rhode Island,Home,L,81-76,136,NR,Q3
Jan 30,Saint Louis,Away,L,102-71,17,NR,Q1
Feb 3,St. Bonaventure,Home,W,72-70,145,NR,Q3
Feb 6,Virginia Commonwealth,Away,L,99-73,,NR,Q4
Feb 15,Davidson,Home,W,70-59,104,NR,Q3
Feb 18,George Mason,Away,TBD,,91,NR,Q2
Feb 21,Duquesne,Home,TBD,,117,NR,Q3
Feb 24,Saint Louis,Home,TBD,,17,NR,Q1
Feb 27,George Washington,Away,TBD,,84,NR,Q2
Mar 3,Richmond,Away,TBD,,142,NR,Q3
Mar 6,Virginia Commonwealth,Home,TBD,,,NR,Q4
