date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 5,Temple,Away,L,83-65,162,NR,Q3
Nov 8,Syracuse,Away,L,83-43,69,NR,Q1
Nov 10,Niagara,Away,L,68-57,342,NR,Q4
Nov 15,New Haven,Away,L,65-52,329,NR,Q4
Nov 18,Cheyney,Home,W,88-70,,NR,Q4
Nov 20,Kean,Home,W,66-64,,NR,Q4
Nov 23,Miami (FL),Away,L,97-41,35,NR,Q1
Nov 26,Virginia State,Neutral,L,62-58,,NR,Q4
Nov 29,Maryland-Baltimore County,Away,L,71-57,,NR,Q4
Dec 3,Navy,Home,L,66-59,150,NR,Q3
Dec 6,Delaware,Home,W,75-72,267,NR,Q4
Dec 13,Longwood,Away,W,81-76,272,NR,Q4
Dec 18,Saint Joseph's,Away,L,67-51,157,NR,Q3
Dec 21,Holy Family,Home,W,73-61,,NR,Q4
Dec 29,Rutgers,Away,L,65-50,155,NR,Q3
Jan 3,Coppin State,Home,L,53-51,,NR,Q4
Jan 10,Norfolk State,Home,L,66-64,309,NR,Q4
Jan 12,Howard,Away,L,84-58,230,NR,Q3
Jan 17,Morgan State,Home,L,80-79,,NR,Q4
Jan 26,South Carolina State,Away,L,70-64,358,NR,Q4
Jan 31,Maryland-Eastern Shore,Home,W,65-57,,NR,Q4
Feb 7,Coppin State,Away,L,65-47,,NR,Q4
Feb 9,North Carolina Central,Away,L,72-63,340,NR,Q4
Feb 14,Norfolk State,Away,L,75-58,309,NR,Q4
Feb 16,Howard,Home,TBD,,230,NR,Q4
Feb 21,Morgan State,Away,TBD,,,NR,Q4
Feb 28,North Carolina Central,Home,TBD,,340,NR,Q4
Mar 2,South Carolina State,Home,TBD,,358,NR,Q4
Mar 5,Maryland-Eastern Shore,Away,TBD,,,NR,Q4
