date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Bucknell,Away,L,78-70,333,NR,Q4
Nov 7,Wilmington (DE),Home,L,71-62,,NR,Q4
Nov 11,Brigham Young,Away,L,85-68,20,NR,Q1
Nov 18,Saint Peter's,Home,W,81-70,226,NR,Q4
Nov 23,Southern Illinois,Neutral,L,79-59,126,NR,Q3
Nov 25,UNC Greensboro,Neutral,W,73-60,294,NR,Q4
Dec 1,Iona,Home,L,89-66,237,NR,Q4
Dec 6,Delaware State,Away,L,75-72,,NR,Q4
Dec 10,George Washington,Away,W,70-58,84,NR,Q2
Dec 13,Cal State Northridge,Home,L,88-66,,NR,Q4
Dec 16,Rider,Home,W,65-57,357,NR,Q4
Dec 29,Missouri State,Home,L,61-43,,NR,Q4
Jan 2,Jacksonville State,Home,L,67-64,,NR,Q4
Jan 4,Kennesaw State,Home,W,67-52,,NR,Q4
Jan 8,Sam Houston,Away,L,72-60,106,NR,Q2
Jan 10,Louisiana Tech,Away,L,70-68,247,NR,Q4
Jan 15,UTEP,Home,L,70-69,264,NR,Q4
Jan 17,New Mexico State,Home,L,97-68,173,NR,Q4
Jan 24,Liberty,Away,L,67-51,74,NR,Q1
Jan 28,New Mexico State,Away,W,73-64,173,NR,Q3
Jan 31,UTEP,Away,L,70-55,264,NR,Q4
Feb 4,Liberty,Home,L,75-69,74,NR,Q2
Feb 7,Middle Tennessee,Home,W,89-88,159,NR,Q3
Feb 12,Florida International,Away,W,68-66,,NR,Q4
Feb 14,Missouri State,Away,W,76-67,,NR,Q4
Feb 18,Western Kentucky,Home,TBD,,175,NR,Q4
Feb 21,Middle Tennessee,Away,TBD,,159,NR,Q3
Feb 26,Jacksonville State,Away,TBD,,,NR,Q4
Feb 28,Kennesaw State,Away,TBD,,,NR,Q4
Mar 5,Sam Houston,Home,TBD,,106,NR,Q3
Mar 7,Louisiana Tech,Home,TBD,,247,NR,Q4
