date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Seattle,Away,L,84-73,,NR,Q4
Nov 6,Washington,Away,L,84-70,52,NR,Q1
Nov 9,Montana State,Away,W,75-73,,NR,Q4
Nov 15,UTSA,Home,L,84-79,341,NR,Q4
Nov 21,Colorado State,Away,W,83-81,95,NR,Q2
Nov 24,Arizona,Away,L,103-73,3,NR,Q1
Nov 26,Wyoming,Away,L,101-59,101,NR,Q2
Dec 3,Eastern Washington,Home,W,93-89,,NR,Q4
Dec 6,Idaho State,Away,L,93-79,,NR,Q4
Dec 9,Colorado Christian,Home,W,95-59,,NR,Q4
Dec 11,Alaska-Anchorage,Home,W,97-61,,NR,Q4
Dec 13,Cal State Fullerton,Home,L,105-86,,NR,Q4
Dec 16,Colorado-Colorado Springs,Home,W,129-93,,NR,Q4
Dec 20,Northern Colorado,Away,W,86-79,,NR,Q4
Dec 22,Tulsa,Away,L,90-85,53,NR,Q1
Dec 31,Kansas City,Home,W,87-74,355,NR,Q4
Jan 4,St. Thomas,Away,L,92-88,,NR,Q4
Jan 8,South Dakota State,Away,L,87-79,204,NR,Q3
Jan 10,South Dakota,Away,L,82-72,276,NR,Q4
Jan 14,Oral Roberts,Home,W,98-87,335,NR,Q4
Jan 22,North Dakota State,Home,L,82-77,,NR,Q4
Jan 24,North Dakota,Home,L,93-86,274,NR,Q4
Jan 28,Kansas City,Away,W,69-61,355,NR,Q4
Jan 31,Omaha,Home,L,84-82,249,NR,Q4
Feb 5,North Dakota State,Away,W,78-71,,NR,Q4
Feb 7,North Dakota,Away,W,98-79,274,NR,Q4
Feb 12,South Dakota State,Home,W,79-61,204,NR,Q4
Feb 15,Omaha,Away,L,83-76,249,NR,Q4
Feb 19,South Dakota,Home,TBD,,276,NR,Q4
Feb 21,St. Thomas,Home,TBD,,,NR,Q4
Feb 26,Oral Roberts,Away,TBD,,335,NR,Q4
