date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Northern Arizona,Neutral,W,77-71,302,NR,Q4
Nov 6,Robert Morris,Home,L,81-79,161,NR,Q4
Nov 10,Simpson (IA),Home,W,89-51,,NR,Q4
Nov 14,Southern Illinois-Edwardsville,Home,L,61-59,,NR,Q4
Nov 17,College of Charleston,Away,W,71-62,,NR,Q4
Nov 21,Buena Vista,Home,W,98-52,,NR,Q4
Nov 28,Louisiana State,Neutral,L,71-62,67,NR,Q2
Nov 29,Georgia Tech,Neutral,W,84-74,165,NR,Q3
Dec 2,Western Illinois,Home,W,108-57,,NR,Q4
Dec 5,UAB,Home,L,74-69,119,NR,Q3
Dec 13,North Dakota State,Home,L,99-94,,NR,Q4
Dec 18,Murray State,Away,L,81-72,,NR,Q4
Dec 21,Evansville,Away,W,66-65,292,NR,Q4
Dec 29,Illinois State,Home,L,73-56,,NR,Q4
Jan 4,Indiana State,Home,W,74-72,218,NR,Q4
Jan 7,Bradley,Away,L,93-66,113,NR,Q2
Jan 10,Belmont,Home,L,78-76,55,NR,Q2
Jan 14,Southern Illinois,Away,W,76-73,126,NR,Q2
Jan 17,Illinois-Chicago,Away,L,74-67,,NR,Q4
Jan 21,Murray State,Home,W,101-90,,NR,Q4
Jan 24,Indiana State,Away,W,76-62,218,NR,Q3
Jan 28,Evansville,Home,W,82-78,292,NR,Q4
Jan 31,Bradley,Home,L,87-73,113,NR,Q3
Feb 3,Belmont,Away,L,103-90,55,NR,Q1
Feb 6,Illinois State,Away,L,86-76,,NR,Q4
Feb 9,Valparaiso,Home,L,81-76,163,NR,Q4
Feb 12,Illinois-Chicago,Home,L,80-70,,NR,Q4
Feb 15,Northern Iowa,Away,L,86-62,,NR,Q4
Feb 18,Southern Illinois,Home,TBD,,126,NR,Q3
Feb 25,Valparaiso,Away,TBD,,163,NR,Q3
Mar 1,Northern Iowa,Home,TBD,,,NR,Q4
