date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Widener,Home,W,93-59,,NR,Q4
Nov 8,Saint Joseph's,Away,L,76-65,157,NR,Q3
Nov 11,Colgate,Away,L,90-83,201,NR,Q3
Nov 15,Syracuse,Neutral,L,80-50,69,NR,Q2
Nov 18,NJIT,Home,W,75-43,301,NR,Q4
Nov 21,Pennsylvania,Home,L,84-68,,NR,Q4
Nov 23,Old Dominion,Home,W,75-71,256,NR,Q4
Nov 25,Morgan State,Away,W,71-66,,NR,Q4
Dec 3,American,Away,L,75-73,261,NR,Q4
Dec 6,La Salle,Neutral,L,69-64,241,NR,Q4
Dec 16,Howard,Home,L,74-66,230,NR,Q4
Dec 19,Mount St. Mary's,Home,W,75-67,299,NR,Q4
Dec 21,Maine,Home,W,74-56,343,NR,Q4
Dec 29,College of Charleston,Away,L,72-63,,NR,Q4
Dec 31,UNC Wilmington,Away,L,65-53,,NR,Q4
Jan 3,Hofstra,Home,L,70-67,102,NR,Q3
Jan 8,Stony Brook,Home,W,56-37,212,NR,Q4
Jan 10,William & Mary,Home,W,64-58,114,NR,Q3
Jan 15,Monmouth,Away,W,73-51,193,NR,Q3
Jan 19,Towson,Away,L,59-58,176,NR,Q3
Jan 24,Northeastern,Home,W,83-78,273,NR,Q4
Jan 29,Hampton,Home,W,58-51,258,NR,Q4
Jan 31,North Carolina A&T,Home,W,61-60,,NR,Q4
Feb 5,Campbell,Away,L,81-60,207,NR,Q3
Feb 7,Elon,Away,W,82-77,192,NR,Q3
Feb 12,Monmouth,Home,L,93-73,193,NR,Q4
Feb 16,Stony Brook,Away,TBD,,212,NR,Q3
Feb 19,Northeastern,Away,TBD,,273,NR,Q4
Feb 21,Towson,Home,TBD,,176,NR,Q4
Feb 26,Campbell,Home,TBD,,207,NR,Q4
Mar 3,Hofstra,Away,TBD,,102,NR,Q2
