date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Niagara,Home,W,83-63,342,NR,Q4
Nov 7,Sacred Heart,Home,W,92-80,297,NR,Q4
Nov 11,Queens (NC),Home,W,87-81,205,NR,Q4
Nov 15,Villanova,Away,L,87-77,30,NR,Q1
Nov 19,Loyola (MD),Home,W,92-78,,NR,Q4
Nov 22,Northeastern,Neutral,L,93-86,273,NR,Q4
Nov 26,Central State (OH),Home,W,101-80,,NR,Q4
Dec 2,William & Mary,Home,L,83-79,114,NR,Q3
Dec 6,Stony Brook,Home,W,84-75,212,NR,Q4
Dec 10,Boise State,Away,L,86-64,60,NR,Q1
Dec 13,Nevada,Away,L,78-75,59,NR,Q1
Dec 22,Canisius,Home,W,103-59,348,NR,Q4
Dec 27,Cleary University,Home,W,99-49,,NR,Q4
Dec 30,Davidson,Away,W,89-83,104,NR,Q2
Jan 3,Virginia Commonwealth,Home,L,93-80,,NR,Q4
Jan 7,Saint Joseph's,Away,L,97-90,157,NR,Q3
Jan 13,Dayton,Home,L,71-65,89,NR,Q3
Jan 17,Fordham,Away,W,74-63,178,NR,Q3
Jan 20,Saint Louis,Home,L,81-77,17,NR,Q1
Jan 24,Loyola (IL),Away,W,71-59,,NR,Q4
Jan 28,St. Bonaventure,Home,L,87-79,145,NR,Q3
Feb 1,Rhode Island,Home,W,76-61,136,NR,Q3
Feb 4,George Mason,Away,W,71-65,91,NR,Q2
Feb 7,George Washington,Home,W,88-86,84,NR,Q3
Feb 14,St. Bonaventure,Away,W,78-73,145,NR,Q3
Feb 18,La Salle,Home,TBD,,241,NR,Q4
Feb 21,Dayton,Away,TBD,,89,NR,Q2
Feb 25,Davidson,Home,TBD,,104,NR,Q3
Feb 28,Saint Louis,Away,TBD,,17,NR,Q1
Mar 4,Rhode Island,Away,TBD,,136,NR,Q3
Mar 7,Richmond,Home,TBD,,142,NR,Q3
