date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Georgia Southern,Home,W,92-89,,NR,Q4
Nov 8,Richmond,Away,L,87-72,142,NR,Q3
Nov 13,Elizabeth City State,Home,W,71-70,,NR,Q4
Nov 18,UNC Wilmington,Away,L,85-60,,NR,Q4
Nov 21,Charleston Southern,Home,L,77-65,,NR,Q4
Nov 25,Michigan State,Neutral,L,89-56,15,NR,Q1
Nov 27,St. Bonaventure,Neutral,L,67-58,145,NR,Q3
Dec 2,Maryland-Eastern Shore,Home,W,68-56,,NR,Q4
Dec 6,UNC Greensboro,Home,L,82-78,294,NR,Q4
Dec 11,Appalachian State,Home,L,67-54,,NR,Q4
Dec 14,Buffalo,Home,W,73-70,177,NR,Q4
Dec 17,Presbyterian,Home,W,74-53,271,NR,Q4
Dec 22,North Carolina,Away,L,99-51,25,NR,Q1
Dec 31,Tulane,Home,L,79-70,190,NR,Q4
Jan 7,Temple,Away,L,75-67,162,NR,Q3
Jan 11,UAB,Home,L,87-85,119,NR,Q3
Jan 14,South Florida,Away,L,82-71,,NR,Q4
Jan 18,Charlotte,Home,L,73-70,189,NR,Q4
Jan 21,Wichita State,Away,L,77-60,,NR,Q4
Jan 23,North Texas,Away,W,63-59,148,NR,Q3
Jan 28,Rice,Home,L,83-77,248,NR,Q4
Feb 1,Florida Atlantic,Away,W,76-75,,NR,Q4
Feb 7,Temple,Home,L,81-73,162,NR,Q4
Feb 11,UTSA,Home,W,88-72,341,NR,Q4
Feb 14,Rice,Away,W,85-75,248,NR,Q4
Feb 18,Wichita State,Home,TBD,,,NR,Q4
Feb 21,Charlotte,Away,TBD,,189,NR,Q3
Feb 25,UTSA,Away,TBD,,341,NR,Q4
Mar 1,Memphis,Home,TBD,,105,NR,Q3
Mar 5,Tulsa,Home,TBD,,53,NR,Q2
Mar 8,UAB,Away,TBD,,119,NR,Q2
