date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,Valparaiso,Away,L,66-63,163,NR,Q3
Nov 7,Nicholls State,Home,W,65-57,,NR,Q4
Nov 11,Notre Dame,Away,L,78-58,87,NR,Q2
Nov 14,Kentucky,Away,L,99-53,28,NR,Q1
Nov 19,Tiffin,Home,W,62-50,,NR,Q4
Nov 25,Central Arkansas,Away,L,81-60,181,NR,Q3
Nov 28,Purdue,Away,L,109-62,7,NR,Q1
Dec 6,Lindenwood,Home,L,82-74,240,NR,Q4
Dec 10,Eastern Kentucky,Home,L,68-59,281,NR,Q4
Dec 14,Iowa State,Away,L,78-53,8,NR,Q1
Dec 18,Southern Illinois-Edwardsville,Home,W,76-72,,NR,Q4
Dec 22,East-West,Home,W,110-56,,NR,Q4
Jan 1,Southeast Missouri State,Away,L,68-59,,NR,Q4
Jan 3,Tennessee-Martin,Away,L,65-61,,NR,Q4
Jan 8,Tennessee Tech,Home,W,71-61,316,NR,Q4
Jan 10,Tennessee State,Home,W,74-70,235,NR,Q4
Jan 13,Western Illinois,Home,W,57-55,,NR,Q4
Jan 15,Little Rock,Away,L,74-63,307,NR,Q4
Jan 18,Blackburn,Home,W,105-49,,NR,Q4
Jan 22,Southern Indiana,Away,W,59-51,,NR,Q4
Jan 24,Morehead State,Away,L,73-68,,NR,Q4
Jan 29,Tennessee-Martin,Home,L,76-68,,NR,Q4
Jan 31,Southeast Missouri State,Home,L,77-59,,NR,Q4
Feb 5,Tennessee State,Away,L,77-68,235,NR,Q3
Feb 7,Tennessee Tech,Away,W,60-54,316,NR,Q4
Feb 10,Western Illinois,Away,L,79-70,,NR,Q4
Feb 14,Little Rock,Home,W,78-72,307,NR,Q4
Feb 19,Morehead State,Home,TBD,,,NR,Q4
Feb 21,Southern Indiana,Home,TBD,,,NR,Q4
Feb 26,Lindenwood,Away,TBD,,240,NR,Q3
Feb 28,Southern Illinois-Edwardsville,Away,TBD,,,NR,Q4
