date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 6,Midway,Home,W,122-60,,NR,Q4
Nov 10,Western Kentucky,Home,L,87-79,175,NR,Q4
Nov 12,Vanderbilt,Away,L,92-62,13,NR,Q1
Nov 18,Kent State,Away,L,93-78,144,NR,Q3
Nov 22,Mercer,Home,L,95-83,153,NR,Q3
Nov 24,Northern Kentucky,Away,L,82-71,199,NR,Q3
Nov 29,Wofford,Home,L,83-77,229,NR,Q4
Dec 3,Illinois State,Away,L,89-78,,NR,Q4
Dec 6,IU East,Home,W,122-67,,NR,Q4
Dec 10,Eastern Illinois,Away,W,68-59,317,NR,Q4
Dec 13,Miami (OH),Home,L,79-69,51,NR,Q2
Dec 17,Jacksonville State,Away,W,62-59,,NR,Q4
Dec 21,Wichita State,Away,L,88-57,,NR,Q4
Jan 1,Queens (NC),Away,L,91-89,205,NR,Q3
Jan 3,West Georgia,Away,L,88-76,,NR,Q4
Jan 8,North Alabama,Home,W,88-80,,NR,Q4
Jan 10,Central Arkansas,Home,W,79-75,181,NR,Q4
Jan 15,Austin Peay,Away,L,74-72,134,NR,Q2
Jan 17,Bellarmine,Home,W,89-69,288,NR,Q4
Jan 22,North Florida,Away,L,87-85,337,NR,Q4
Jan 24,Jacksonville,Away,L,81-76,306,NR,Q4
Jan 28,Austin Peay,Home,L,90-82,134,NR,Q3
Jan 31,Central Arkansas,Away,L,90-81,181,NR,Q3
Feb 5,Florida Gulf Coast,Home,W,76-74,257,NR,Q4
Feb 7,Stetson,Home,W,100-88,325,NR,Q4
Feb 11,Lipscomb,Away,L,75-61,186,NR,Q3
Feb 15,North Alabama,Away,L,84-78,,NR,Q4
Feb 18,West Georgia,Home,TBD,,,NR,Q4
Feb 21,Bellarmine,Away,TBD,,288,NR,Q4
Feb 25,Queens (NC),Home,TBD,,205,NR,Q4
Feb 28,Lipscomb,Home,TBD,,186,NR,Q4
