date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,UCLA,Away,L,80-74,40,NR,Q1
Nov 5,Loyola Marymount,Away,L,70-62,,NR,Q4
Nov 8,Colorado,Away,L,102-97,73,NR,Q1
Nov 12,Seattle,Away,L,94-67,,NR,Q4
Nov 17,Eastern Oregon,Home,W,91-73,,NR,Q4
Nov 23,Central Arkansas,Away,L,92-65,181,NR,Q3
Nov 25,North Texas,Away,L,79-71,148,NR,Q3
Dec 3,Denver,Away,L,93-89,233,NR,Q3
Dec 6,Kansas City,Home,W,90-66,355,NR,Q4
Dec 12,California Baptist,Home,L,88-83,109,NR,Q3
Dec 17,Washington State,Neutral,L,78-63,135,NR,Q3
Dec 20,Utah,Away,L,101-77,128,NR,Q2
Dec 22,Brigham Young,Away,L,109-81,20,NR,Q1
Jan 3,Idaho,Away,L,84-81,167,NR,Q3
Jan 8,Montana State,Home,L,68-64,,NR,Q4
Jan 10,Montana,Home,W,66-65,182,NR,Q4
Jan 15,Weber State,Away,L,91-80,,NR,Q4
Jan 17,Idaho State,Away,W,84-66,,NR,Q4
Jan 22,Portland State,Home,L,65-61,,NR,Q4
Jan 24,Sacramento State,Home,W,75-67,,NR,Q4
Jan 29,Northern Arizona,Away,L,92-86,302,NR,Q4
Jan 31,Northern Colorado,Away,L,74-71,,NR,Q4
Feb 5,Montana,Away,W,82-74,182,NR,Q3
Feb 7,Montana State,Away,W,72-71,,NR,Q4
Feb 12,Idaho State,Home,W,88-75,,NR,Q4
Feb 14,Weber State,Home,W,84-66,,NR,Q4
Feb 19,Sacramento State,Away,TBD,,,NR,Q4
Feb 21,Portland State,Away,TBD,,,NR,Q4
Feb 26,Northern Colorado,Home,TBD,,,NR,Q4
Feb 28,Northern Arizona,Home,TBD,,302,NR,Q4
Mar 2,Idaho,Home,TBD,,167,NR,Q4
