date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 5,Belmont Abbey,Home,W,99-51,,NR,Q4
Nov 8,UNC Greensboro,Away,W,92-90,294,NR,Q4
Nov 12,Marshall,Away,L,96-89,149,NR,Q3
Nov 15,Gardner-Webb,Home,W,95-84,363,NR,Q4
Nov 20,Miami (FL),Away,L,99-72,35,NR,Q1
Nov 24,Appalachian State,Away,W,88-53,,NR,Q4
Nov 29,Mercer,Home,L,91-84,153,NR,Q3
Dec 3,Furman,Home,L,97-88,194,NR,Q4
Dec 6,Wofford,Away,W,73-52,229,NR,Q3
Dec 13,Northern Illinois,Home,W,85-79,,NR,Q4
Dec 17,Richmond,Home,W,73-70,142,NR,Q3
Dec 20,Virginia Tech,Away,L,82-81,58,NR,Q1
Dec 22,Greensboro,Home,W,97-63,,NR,Q4
Dec 29,Northeastern,Home,W,103-91,273,NR,Q4
Dec 31,College of Charleston,Home,L,85-81,,NR,Q4
Jan 8,North Carolina A&T,Away,W,69-64,,NR,Q4
Jan 10,Campbell,Home,W,83-82,207,NR,Q4
Jan 15,Northeastern,Away,L,85-78,273,NR,Q4
Jan 17,Hofstra,Away,W,89-85,102,NR,Q2
Jan 22,Towson,Home,L,72-59,176,NR,Q4
Jan 24,College of Charleston,Away,L,80-70,,NR,Q4
Jan 29,William & Mary,Home,W,79-76,114,NR,Q3
Jan 31,Stony Brook,Home,L,72-68,212,NR,Q4
Feb 5,Hampton,Away,L,87-79,258,NR,Q4
Feb 7,Drexel,Home,L,82-77,217,NR,Q4
Feb 12,UNC Wilmington,Away,L,65-54,,NR,Q4
Feb 14,William & Mary,Away,W,81-78,114,NR,Q2
Feb 21,North Carolina A&T,Home,TBD,,,NR,Q4
Feb 26,Towson,Away,TBD,,176,NR,Q3
Feb 28,Monmouth,Away,TBD,,193,NR,Q3
Mar 3,UNC Wilmington,Home,TBD,,,NR,Q4
