date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Penn State,Away,L,76-68,122,NR,Q2
Nov 8,NJIT,Away,W,74-53,301,NR,Q4
Nov 10,Seton Hall,Away,L,82-59,49,NR,Q1
Nov 14,Stonehill,Home,W,73-71,339,NR,Q4
Nov 16,Loyola (MD),Home,W,85-82,,NR,Q4
Nov 22,Le Moyne,Away,W,97-83,280,NR,Q4
Nov 26,Columbia,Home,L,106-77,180,NR,Q4
Nov 30,New Hampshire,Home,W,72-68,334,NR,Q4
Dec 5,Manhattan,Away,L,70-66,321,NR,Q4
Dec 7,Merrimack,Away,L,74-63,185,NR,Q3
Dec 14,Monmouth,Home,W,73-65,193,NR,Q4
Dec 18,Central Connecticut State,Away,W,84-70,,NR,Q4
Dec 22,City College of New York,Home,W,121-58,,NR,Q4
Dec 29,Saint Peter's,Home,L,70-66,226,NR,Q4
Jan 2,Canisius,Away,L,85-81,348,NR,Q4
Jan 4,Niagara,Away,W,83-75,342,NR,Q4
Jan 9,Rider,Home,W,68-62,357,NR,Q4
Jan 14,Manhattan,Home,W,98-62,321,NR,Q4
Jan 17,Marist,Away,L,82-67,170,NR,Q3
Jan 19,Siena,Away,L,85-77,188,NR,Q3
Jan 22,Niagara,Home,W,62-61,342,NR,Q4
Jan 24,Canisius,Home,W,61-55,348,NR,Q4
Jan 30,Iona,Away,W,71-70,237,NR,Q3
Feb 1,Quinnipiac,Home,L,72-65,202,NR,Q4
Feb 5,Sacred Heart,Away,W,92-87,297,NR,Q4
Feb 7,Marist,Home,W,63-60,170,NR,Q4
Feb 15,Saint Peter's,Away,L,83-74,226,NR,Q3
Feb 20,Sacred Heart,Home,TBD,,297,NR,Q4
Feb 22,Quinnipiac,Away,TBD,,202,NR,Q3
Feb 27,Siena,Home,TBD,,188,NR,Q4
Mar 1,Mount St. Mary's,Home,TBD,,299,NR,Q4
