date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Iowa State,Away,L,88-50,8,NR,Q1
Nov 8,Saint Peter's,Away,L,93-83,226,NR,Q3
Nov 12,Texas,Away,L,93-58,37,NR,Q1
Nov 15,NJIT,Away,L,93-81,301,NR,Q4
Nov 18,St. Elizabeth,Home,W,100-58,,NR,Q4
Nov 24,East Texas A&M,Home,L,70-65,296,NR,Q4
Nov 26,Army,Home,L,81-73,332,NR,Q4
Dec 2,Providence,Away,L,94-64,79,NR,Q2
Dec 4,Manor,Home,W,86-38,,NR,Q4
Dec 10,Fordham,Away,L,75-54,178,NR,Q3
Dec 19,Lehman,Home,W,76-42,,NR,Q4
Dec 22,Boston College,Away,L,72-61,152,NR,Q3
Dec 29,Minnesota,Away,L,60-43,86,NR,Q2
Jan 2,Mercyhurst,Away,W,74-67,283,NR,Q4
Jan 4,Saint Francis (PA),Away,L,85-82,,NR,Q4
Jan 8,Chicago State,Home,W,70-63,,NR,Q4
Jan 10,New Haven,Away,L,65-55,329,NR,Q4
Jan 17,Long Island University,Home,L,66-59,195,NR,Q4
Jan 19,Wagner,Home,W,68-61,315,NR,Q4
Jan 23,Central Connecticut State,Away,W,76-66,,NR,Q4
Jan 26,Le Moyne,Home,L,87-74,280,NR,Q4
Jan 29,Stonehill,Away,L,58-57,339,NR,Q4
Jan 31,Wagner,Away,L,75-72,315,NR,Q4
Feb 5,Stonehill,Home,W,74-58,339,NR,Q4
Feb 7,Mercyhurst,Home,W,55-52,283,NR,Q4
Feb 12,Saint Francis (PA),Home,W,66-59,,NR,Q4
Feb 14,Central Connecticut State,Home,L,63-57,,NR,Q4
Feb 19,Chicago State,Away,TBD,,,NR,Q4
Feb 21,New Haven,Home,TBD,,329,NR,Q4
Feb 26,Le Moyne,Away,TBD,,280,NR,Q4
Feb 28,Long Island University,Away,TBD,,195,NR,Q3
