date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Florida National University,Home,W,101-49,,NR,Q4
Nov 8,Nebraska,Away,L,96-66,11,NR,Q1
Nov 13,Louisiana State,Away,L,98-81,67,NR,Q1
Nov 18,Univ. of Ft. Lauderdale,Home,W,104-80,,NR,Q4
Nov 24,James Madison,Home,L,80-72,219,NR,Q4
Nov 26,Omaha,Home,W,74-61,249,NR,Q4
Dec 3,Florida Gulf Coast,Home,W,89-83,257,NR,Q4
Dec 6,Jacksonville,Home,W,88-65,306,NR,Q4
Dec 16,Miami (FL),Away,L,98-81,35,NR,Q1
Dec 20,Long Island University,Home,W,86-79,195,NR,Q4
Dec 22,Trinity Baptist,Home,W,121-70,,NR,Q4
Dec 28,Liberty,Home,L,97-94,74,NR,Q2
Jan 2,New Mexico State,Home,W,89-74,173,NR,Q4
Jan 4,UTEP,Home,W,76-64,264,NR,Q4
Jan 7,Jacksonville State,Away,L,71-64,,NR,Q4
Jan 10,Missouri State,Away,L,79-71,,NR,Q4
Jan 14,Kennesaw State,Away,L,89-86,,NR,Q4
Jan 17,Sam Houston,Home,L,76-63,106,NR,Q3
Jan 22,UTEP,Away,L,83-77,264,NR,Q4
Jan 24,New Mexico State,Away,W,81-78,173,NR,Q3
Jan 28,Jacksonville State,Home,L,78-74,,NR,Q4
Feb 4,Middle Tennessee,Away,W,88-84,159,NR,Q3
Feb 7,Western Kentucky,Away,L,80-70,175,NR,Q3
Feb 12,Delaware,Home,L,68-66,267,NR,Q4
Feb 14,Louisiana Tech,Home,W,77-64,247,NR,Q4
Feb 19,Liberty,Away,TBD,,74,NR,Q1
Feb 21,Missouri State,Home,TBD,,,NR,Q4
Feb 26,Sam Houston,Away,TBD,,106,NR,Q2
Feb 28,Louisiana Tech,Away,TBD,,247,NR,Q4
Mar 5,Middle Tennessee,Home,TBD,,159,NR,Q3
Mar 7,Western Kentucky,Home,TBD,,175,NR,Q4
