date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,South Florida,Away,L,102-67,,NR,Q4
Nov 8,Kennesaw State,Home,L,92-72,,NR,Q4
Nov 11,UCF,Away,L,97-60,50,NR,Q1
Nov 17,Georgia,Away,L,87-57,39,NR,Q1
Dec 2,Jacksonville,Away,L,85-82,306,NR,Q4
Dec 6,Florida Memorial,Neutral,W,60-58,,NR,Q4
Dec 15,Albany State (GA),Home,W,93-77,,NR,Q4
Dec 17,Jacksonville,Home,W,72-65,306,NR,Q4
Dec 19,Tarleton State,Away,L,78-54,,NR,Q4
Dec 21,TCU,Away,L,80-56,45,NR,Q1
Dec 28,Georgia Tech,Away,L,89-65,165,NR,Q3
Jan 3,Bethune-Cookman,Away,L,87-83,251,NR,Q4
Jan 10,Southern,Home,W,67-59,279,NR,Q4
Jan 12,Grambling,Home,W,91-84,275,NR,Q4
Jan 17,Arkansas-Pine Bluff,Away,W,71-67,,NR,Q4
Jan 19,Mississippi Valley State,Away,W,62-48,,NR,Q4
Jan 24,Alcorn State,Home,W,66-58,,NR,Q4
Jan 26,Jackson State,Home,L,66-65,347,NR,Q4
Jan 31,Alabama A&M,Away,L,72-65,311,NR,Q4
Feb 2,Alabama State,Away,L,79-66,,NR,Q4
Feb 7,Texas Southern,Home,L,62-57,319,NR,Q4
Feb 9,Prairie View,Home,W,100-96,330,NR,Q4
Feb 14,Jackson State,Away,L,80-60,347,NR,Q4
Feb 16,Alcorn State,Away,TBD,,,NR,Q4
Feb 19,Alabama State,Home,TBD,,,NR,Q4
Feb 26,Southern,Away,TBD,,279,NR,Q4
Feb 28,Grambling,Away,TBD,,275,NR,Q4
Mar 5,Bethune-Cookman,Home,TBD,,251,NR,Q4
