date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Arizona,Neutral,L,93-87,3,NR,Q1
Nov 6,North Florida,Home,W,104-64,337,NR,Q4
Nov 11,Florida State,Home,W,78-76,82,NR,Q3
Nov 16,Miami (FL),Neutral,W,82-68,35,NR,Q1
Nov 21,Merrimack,Home,W,80-45,188,NR,Q4
Nov 27,TCU,Neutral,L,84-80,45,NR,Q1
Nov 28,Providence,Neutral,W,90-78,80,NR,Q2
Dec 2,Duke,Away,L,67-66,2,NR,Q1
Dec 9,Connecticut,Neutral,L,77-73,10,NR,Q1
Dec 13,George Washington,Neutral,W,80-70,85,NR,Q2
Dec 17,Saint Francis (PA),Home,W,102-61,,NR,Q4
Dec 21,Colgate,Home,W,90-60,202,NR,Q4
Dec 29,Dartmouth,Home,W,94-72,248,NR,Q4
Jan 3,Missouri,Away,L,76-74,66,NR,Q1
Jan 6,Georgia,Home,W,92-77,39,NR,Q2
Jan 10,Tennessee,Home,W,91-67,22,NR,Q1
Jan 13,Oklahoma,Away,W,96-79,68,NR,Q1
Jan 17,Vanderbilt,Away,W,98-94,13,NR,Q1
Jan 20,Louisiana State,Home,W,79-61,67,NR,Q2
Jan 24,Auburn,Home,L,76-67,34,NR,Q2
Jan 28,South Carolina,Away,W,95-48,112,NR,Q2
Feb 1,Alabama,Home,W,100-77,21,NR,Q1
Feb 7,Texas A&M,Away,W,86-67,43,NR,Q1
Feb 11,Georgia,Away,W,86-66,39,NR,Q1
Feb 14,Kentucky,Home,W,92-83,28,NR,Q1
Feb 17,South Carolina,Home,TBD,,112,NR,Q3
Feb 21,Mississippi,Away,TBD,,92,NR,Q2
Feb 25,Texas,Away,TBD,,37,NR,Q1
Feb 28,Arkansas,Home,TBD,,18,NR,Q1
Mar 3,Mississippi State,Home,TBD,,96,NR,Q3
Mar 7,Kentucky,Away,TBD,,28,NR,Q1
