date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,NJIT,Home,L,72-61,301,NR,Q4
Nov 7,Mount Saint Mary (NY),Home,W,106-37,,NR,Q4
Nov 11,Wagner,Home,W,63-61,315,NR,Q4
Nov 14,Iona,Away,L,76-71,237,NR,Q3
Nov 16,Manhattanville,Home,W,96-62,,NR,Q4
Nov 20,Long Island University,Home,W,69-53,195,NR,Q4
Nov 28,Franklin Pierce,Neutral,W,74-72,,NR,Q4
Nov 29,Albany (NY),Neutral,W,88-68,,NR,Q4
Nov 30,Colgate,Neutral,L,72-62,201,NR,Q4
Dec 6,Holy Cross,Home,L,70-69,327,NR,Q4
Dec 10,FDU,Home,W,75-54,328,NR,Q4
Dec 13,Manhattan,Home,W,82-53,321,NR,Q4
Dec 22,New Haven,Home,W,65-47,329,NR,Q4
Dec 31,Dayton,Away,L,63-56,89,NR,Q2
Jan 4,Richmond,Home,L,83-75,142,NR,Q3
Jan 7,George Mason,Home,L,67-58,91,NR,Q3
Jan 10,St. Bonaventure,Away,W,81-77,145,NR,Q3
Jan 14,Saint Louis,Away,L,78-56,17,NR,Q1
Jan 17,Duquesne,Home,L,74-63,117,NR,Q3
Jan 21,Davidson,Away,L,68-63,104,NR,Q2
Jan 28,La Salle,Home,W,64-58,241,NR,Q4
Jan 31,George Washington,Away,W,79-65,84,NR,Q2
Feb 3,Virginia Commonwealth,Home,L,63-59,,NR,Q4
Feb 7,St. Bonaventure,Home,L,70-67,145,NR,Q3
Feb 10,Saint Joseph's,Away,W,68-64,157,NR,Q3
Feb 14,Rhode Island,Away,W,70-66,136,NR,Q3
Feb 18,Loyola (IL),Home,TBD,,,NR,Q4
Feb 21,Davidson,Home,TBD,,104,NR,Q3
Feb 28,Virginia Commonwealth,Away,TBD,,,NR,Q4
Mar 4,La Salle,Away,TBD,,241,NR,Q4
Mar 7,Rhode Island,Home,TBD,,136,NR,Q3
