date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Fresno Pacific,Home,W,88-51,,NR,Q4
Nov 5,South Carolina Upstate,Home,L,67-66,293,NR,Q4
Nov 8,Long Beach State,Home,W,82-62,,NR,Q4
Nov 12,UC San Diego,Home,L,78-73,125,NR,Q3
Nov 15,Utah Valley,Home,W,75-74,88,NR,Q3
Nov 18,Stephen F. Austin,Home,W,80-78,,NR,Q4
Nov 21,New Orleans,Home,W,85-76,222,NR,Q4
Nov 26,Pepperdine,Neutral,W,76-53,284,NR,Q4
Nov 30,Cal State Bakersfield,Home,L,76-71,,NR,Q4
Dec 6,Arkansas,Away,L,82-58,18,NR,Q1
Dec 10,Cal State Northridge,Away,L,89-87,,NR,Q4
Dec 20,Nevada-Las Vegas,Away,L,84-72,,NR,Q4
Dec 30,Utah State,Home,L,72-63,23,NR,Q1
Jan 3,Nevada,Home,L,66-65,59,NR,Q2
Jan 6,San Jose State,Away,W,70-55,265,NR,Q4
Jan 10,San Diego State,Away,L,71-52,41,NR,Q1
Jan 13,Colorado State,Home,W,79-69,95,NR,Q3
Jan 17,Wyoming,Home,W,63-60,101,NR,Q3
Jan 21,New Mexico,Away,L,83-74,44,NR,Q1
Jan 24,Grand Canyon,Home,L,68-57,76,NR,Q3
Jan 31,Air Force,Away,W,79-62,346,NR,Q4
Feb 3,Nevada-Las Vegas,Home,W,98-96,,NR,Q4
Feb 7,Nevada,Away,L,69-59,59,NR,Q1
Feb 10,Utah State,Away,L,91-78,23,NR,Q1
Feb 14,Air Force,Home,W,93-63,346,NR,Q4
Feb 17,Wyoming,Away,TBD,,101,NR,Q2
Feb 21,New Mexico,Home,TBD,,44,NR,Q2
Feb 24,Colorado State,Away,TBD,,95,NR,Q2
Feb 28,Boise State,Home,TBD,,60,NR,Q2
Mar 3,San Jose State,Home,TBD,,265,NR,Q4
Mar 7,Grand Canyon,Away,TBD,,76,NR,Q2
