date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,High Point,Neutral,L,97-71,75,NR,Q2
Nov 7,Troy,Home,L,64-61,132,NR,Q3
Nov 10,Columbia International,Home,W,89-59,,NR,Q4
Nov 14,Northern Iowa,Away,L,70-54,,NR,Q4
Nov 19,Ohio Christian,Home,W,79-44,,NR,Q4
Nov 23,Queens (NC),Home,W,90-79,205,NR,Q4
Nov 27,Richmond,Neutral,W,73-72,142,NR,Q3
Nov 28,Illinois State,Neutral,L,72-65,,NR,Q4
Dec 3,Elon,Away,W,97-88,192,NR,Q3
Dec 6,Harvard,Home,W,79-69,160,NR,Q3
Dec 9,Bob Jones University,Home,W,105-57,,NR,Q4
Dec 18,Manhattan,Away,W,75-68,321,NR,Q4
Dec 21,Charleston Southern,Home,W,84-76,,NR,Q4
Dec 31,Mercer,Home,W,74-72,153,NR,Q3
Jan 3,Western Carolina,Home,L,80-77,263,NR,Q4
Jan 7,Chattanooga,Away,W,78-67,300,NR,Q4
Jan 10,Virginia Military Institute,Home,W,69-48,,NR,Q4
Jan 14,Samford,Away,W,77-73,210,NR,Q3
Jan 17,Wofford,Home,L,74-70,229,NR,Q4
Jan 21,The Citadel,Away,L,77-75,351,NR,Q4
Jan 23,UNC Greensboro,Away,W,89-66,294,NR,Q4
Jan 29,Samford,Home,W,78-73,210,NR,Q4
Feb 1,Chattanooga,Home,W,75-70,300,NR,Q4
Feb 4,East Tennessee State,Away,L,75-71,129,NR,Q2
Feb 8,UNC Greensboro,Home,L,67-64,294,NR,Q4
Feb 11,Mercer,Away,L,69-64,153,NR,Q3
Feb 14,Virginia Military Institute,Away,W,90-72,,NR,Q4
Feb 18,East Tennessee State,Home,TBD,,129,NR,Q3
Feb 21,Wofford,Away,TBD,,229,NR,Q3
Feb 25,The Citadel,Home,TBD,,351,NR,Q4
Feb 28,Western Carolina,Away,TBD,,263,NR,Q4
