date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 4,East Carolina,Away,L,92-89,269,NR,Q4
Nov 8,UNC Asheville,Home,W,93-90,228,NR,Q4
Nov 11,Florida Gulf Coast,Away,W,95-94,257,NR,Q4
Nov 14,Johnson C. Smith,Home,W,98-79,,NR,Q4
Nov 18,Georgia Tech,Away,L,68-66,165,NR,Q3
Nov 21,Florida State,Away,L,98-72,82,NR,Q2
Nov 24,Youngstown State,Neutral,L,67-61,,NR,Q4
Nov 25,UTSA,Neutral,L,77-64,341,NR,Q4
Nov 29,Houston Christian,Home,W,80-62,298,NR,Q4
Dec 3,Louisiana Tech,Home,W,77-69,247,NR,Q4
Dec 6,Gardner-Webb,Away,W,88-84,363,NR,Q4
Dec 11,Coastal Georgia,Home,W,100-58,,NR,Q4
Dec 13,West Georgia,Away,W,91-85,,NR,Q4
Dec 18,Georgia State,Home,W,90-67,,NR,Q4
Dec 20,James Madison,Home,W,96-92,219,NR,Q4
Jan 1,Coastal Carolina,Away,W,82-81,221,NR,Q3
Jan 3,Old Dominion,Away,W,93-86,256,NR,Q4
Jan 10,South Alabama,Away,L,87-71,168,NR,Q3
Jan 15,Old Dominion,Home,W,87-84,256,NR,Q4
Jan 17,Coastal Carolina,Home,L,79-75,221,NR,Q4
Jan 22,Arkansas State,Home,L,85-68,,NR,Q4
Jan 24,Troy,Home,L,83-78,132,NR,Q3
Jan 30,Louisiana-Monroe,Away,W,79-76,,NR,Q4
Jan 31,Louisiana,Away,L,69-60,312,NR,Q4
Feb 4,Texas State,Home,L,77-71,,NR,Q4
Feb 11,Appalachian State,Home,L,81-65,,NR,Q4
Feb 14,Marshall,Home,W,101-87,149,NR,Q3
Feb 19,Georgia State,Away,TBD,,,NR,Q4
Feb 21,Appalachian State,Away,TBD,,,NR,Q4
Feb 25,James Madison,Away,TBD,,219,NR,Q3
Feb 27,Marshall,Away,TBD,,149,NR,Q3
