date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Wofford,Home,W,70-46,229,NR,Q4
Nov 7,Winthrop,Home,W,96-90,121,NR,Q3
Nov 11,Catawba,Home,W,86-62,,NR,Q4
Nov 15,New Hampshire,Home,W,61-44,334,NR,Q4
Nov 18,Jacksonville,Home,W,79-57,306,NR,Q4
Nov 24,Ohio,Neutral,W,92-69,213,NR,Q4
Nov 25,Florida Atlantic,Neutral,W,74-65,,NR,Q4
Nov 29,James Madison,Home,W,82-66,219,NR,Q4
Dec 2,Cornell,Home,W,99-81,146,NR,Q3
Dec 6,Virginia Tech,Away,L,73-62,58,NR,Q1
Dec 13,Old Dominion,Home,W,73-61,256,NR,Q4
Dec 21,Loyola (MD),Home,W,86-79,,NR,Q4
Dec 28,Pennsylvania,Home,W,83-79,,NR,Q4
Dec 31,La Salle,Away,W,80-75,241,NR,Q4
Jan 3,Rhode Island,Home,W,61-50,136,NR,Q3
Jan 7,Fordham,Away,W,67-58,178,NR,Q3
Jan 10,Virginia Commonwealth,Home,W,86-80,,NR,Q4
Jan 13,Loyola (IL),Away,W,82-74,,NR,Q4
Jan 19,George Washington,Home,W,69-64,84,NR,Q3
Jan 24,Rhode Island,Away,L,74-65,136,NR,Q3
Jan 28,Davidson,Home,W,60-52,104,NR,Q3
Jan 31,St. Bonaventure,Away,W,77-73,145,NR,Q3
Feb 4,Duquesne,Home,L,71-65,117,NR,Q3
Feb 7,Saint Joseph's,Home,W,60-52,157,NR,Q3
Feb 10,Richmond,Away,L,82-70,142,NR,Q3
Feb 13,George Washington,Away,L,72-53,84,NR,Q2
Feb 18,Dayton,Home,TBD,,89,NR,Q3
Feb 25,Saint Joseph's,Away,TBD,,157,NR,Q3
Feb 28,St. Bonaventure,Home,TBD,,145,NR,Q3
Mar 3,Virginia Commonwealth,Away,TBD,,,NR,Q4
Mar 7,Saint Louis,Home,TBD,,17,NR,Q1
