date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Maine,Home,W,67-47,343,NR,Q4
Nov 8,South Florida,Neutral,W,99-95,,NR,Q4
Nov 12,American,Home,W,107-67,261,NR,Q4
Nov 15,Old Dominion,Home,W,96-73,256,NR,Q4
Nov 19,Maryland-Baltimore County,Home,W,89-52,,NR,Q4
Nov 23,McNeese State,Neutral,L,92-86,56,NR,Q2
Nov 24,Middle Tennessee,Neutral,W,92-79,159,NR,Q3
Nov 25,Murray State,Neutral,L,96-95,,NR,Q4
Dec 2,Army,Away,W,84-70,332,NR,Q4
Dec 6,William & Mary,Home,W,99-86,114,NR,Q3
Dec 10,Delaware,Home,L,70-58,267,NR,Q4
Dec 13,Florida,Neutral,L,80-70,9,NR,Q1
Dec 22,St. Mary's (MD),Home,W,97-40,,NR,Q4
Dec 31,Richmond,Away,W,99-85,142,NR,Q3
Jan 3,La Salle,Home,W,77-55,241,NR,Q4
Jan 6,Dayton,Away,L,79-72,89,NR,Q2
Jan 10,Loyola (IL),Home,W,101-66,,NR,Q4
Jan 14,Davidson,Home,L,84-79,104,NR,Q3
Jan 19,George Mason,Away,L,69-64,91,NR,Q2
Jan 24,Richmond,Home,W,85-69,142,NR,Q3
Jan 27,Saint Louis,Away,L,79-76,17,NR,Q1
Jan 31,Fordham,Home,L,79-65,178,NR,Q4
Feb 4,Saint Joseph's,Away,L,76-73,157,NR,Q3
Feb 7,Duquesne,Away,L,88-86,117,NR,Q2
Feb 10,Rhode Island,Home,W,75-70,136,NR,Q3
Feb 13,George Mason,Home,W,72-53,91,NR,Q3
Feb 17,Virginia Commonwealth,Away,TBD,,,NR,Q4
Feb 24,La Salle,Away,TBD,,241,NR,Q4
Feb 27,Dayton,Home,TBD,,89,NR,Q3
Mar 4,St. Bonaventure,Home,TBD,,145,NR,Q3
Mar 7,Loyola (IL),Away,TBD,,,NR,Q4
