date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Eastern Michigan,Away,L,71-49,,NR,Q4
Nov 7,Cincinnati,Away,L,74-64,63,NR,Q1
Nov 10,Presbyterian,Home,L,63-61,271,NR,Q4
Nov 13,Fort Valley State,Home,W,90-56,,NR,Q4
Nov 17,Arizona State,Away,L,75-62,71,NR,Q1
Nov 21,South Dakota State,Away,L,105-58,204,NR,Q3
Nov 25,Samford,Neutral,L,78-63,210,NR,Q4
Nov 26,New Mexico State,Neutral,L,77-58,173,NR,Q3
Dec 2,Mercer,Away,L,78-67,153,NR,Q3
Dec 6,Kennesaw State,Away,L,92-69,,NR,Q4
Dec 13,Jacksonville State,Home,W,77-73,,NR,Q4
Dec 18,Georgia Southern,Away,L,90-67,,NR,Q4
Dec 20,Appalachian State,Away,W,70-63,,NR,Q4
Dec 28,Columbia College,Home,W,110-72,180,NR,Q4
Dec 31,Marshall,Away,L,84-80,149,NR,Q3
Jan 3,Coastal Carolina,Away,W,89-71,221,NR,Q3
Jan 8,Appalachian State,Home,L,52-50,,NR,Q4
Jan 10,Marshall,Home,W,81-73,149,NR,Q3
Jan 17,Louisiana-Monroe,Away,W,77-57,,NR,Q4
Jan 22,Southern Mississippi,Home,W,69-62,,NR,Q4
Jan 24,Arkansas State,Home,W,82-81,,NR,Q4
Jan 29,Louisiana,Away,L,82-72,312,NR,Q4
Jan 31,South Alabama,Away,L,69-67,168,NR,Q3
Feb 4,Troy,Home,L,74-63,132,NR,Q3
Feb 7,Northern Illinois,Home,L,75-74,,NR,Q4
Feb 12,James Madison,Away,L,81-79,219,NR,Q3
Feb 14,Old Dominion,Away,L,78-55,256,NR,Q4
Feb 19,Georgia Southern,Home,TBD,,,NR,Q4
Feb 21,James Madison,Home,TBD,,219,NR,Q4
Feb 24,Coastal Carolina,Home,TBD,,221,NR,Q4
Feb 27,Old Dominion,Home,TBD,,256,NR,Q4
