date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Texas Southern,Home,W,98-43,319,NR,Q4
Nov 8,Oklahoma,Home,W,83-68,68,NR,Q2
Nov 11,Creighton,Home,W,90-63,81,NR,Q3
Nov 14,Arizona State,Away,W,77-65,71,NR,Q1
Nov 17,Southern Utah,Home,W,122-50,283,NR,Q4
Nov 24,Alabama,Neutral,W,95-85,21,NR,Q1
Nov 25,Maryland,Neutral,W,100-61,149,NR,Q3
Nov 26,Michigan,Neutral,L,101-61,1,NR,Q1
Dec 5,Kentucky,Neutral,W,94-59,28,NR,Q1
Dec 7,North Florida,Home,W,109-58,337,NR,Q4
Dec 13,UCLA,Neutral,W,82-72,40,NR,Q1
Dec 17,Campbell,Home,W,98-70,207,NR,Q4
Dec 21,Oregon,Neutral,W,91-82,107,NR,Q3
Dec 28,Pepperdine,Away,W,96-56,284,NR,Q4
Dec 30,San Diego,Away,W,99-93,218,NR,Q3
Jan 2,Seattle,Home,W,80-72,,NR,Q4
Jan 4,Loyola Marymount,Home,W,82-47,,NR,Q4
Jan 8,Santa Clara,Home,W,89-77,42,NR,Q2
Jan 15,Washington State,Away,W,86-65,136,NR,Q3
Jan 17,Seattle,Away,W,71-50,,NR,Q4
Jan 21,Pepperdine,Home,W,84-60,284,NR,Q4
Jan 24,San Francisco,Home,W,68-66,125,NR,Q3
Jan 31,Saint Mary's (CA),Home,W,73-65,26,NR,Q1
Feb 4,Portland,Away,L,87-80,208,NR,Q3
Feb 7,Oregon State,Away,W,81-61,183,NR,Q3
Feb 10,Washington State,Home,W,83-53,136,NR,Q3
Feb 14,Santa Clara,Away,W,94-86,42,NR,Q1
Feb 18,San Francisco,Away,TBD,,125,NR,Q2
Feb 21,Pacific,Home,TBD,,104,NR,Q3
Feb 25,Portland,Home,TBD,,208,NR,Q4
Feb 28,Saint Mary's (CA),Away,TBD,,26,NR,Q1
