date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Huston-Tillotson,Home,W,91-47,,NR,Q4
Nov 6,Iowa State,Away,L,102-62,8,NR,Q1
Nov 9,Howard,Away,W,73-70,230,NR,Q3
Nov 13,Southern Mississippi,Home,W,75-70,,NR,Q4
Nov 18,San Diego,Away,L,78-68,223,NR,Q3
Nov 21,California Baptist,Away,L,72-59,109,NR,Q2
Nov 24,UC Riverside,Away,L,83-74,291,NR,Q4
Dec 2,Tulane,Away,L,65-63,190,NR,Q3
Dec 8,Southern Mississippi,Away,L,68-60,,NR,Q4
Dec 18,Norfolk State,Neutral,W,80-68,309,NR,Q4
Dec 19,Hampton,Neutral,W,81-72,258,NR,Q4
Dec 23,Ohio State,Away,L,89-63,38,NR,Q1
Dec 30,Centenary (LA),Home,W,90-58,,NR,Q4
Jan 3,Prairie View,Home,W,76-72,330,NR,Q4
Jan 5,Texas Southern,Home,W,84-67,319,NR,Q4
Jan 10,Bethune-Cookman,Away,L,74-65,251,NR,Q4
Jan 12,Florida A&M,Away,L,91-84,336,NR,Q4
Jan 17,Southern,Home,L,71-53,279,NR,Q4
Jan 31,Jackson State,Away,W,69-66,347,NR,Q4
Feb 2,Alcorn State,Away,W,74-50,,NR,Q4
Feb 4,Arkansas-Pine Bluff,Home,L,67-64,,NR,Q4
Feb 7,Alabama State,Home,W,57-47,,NR,Q4
Feb 9,Alabama A&M,Home,L,66-58,311,NR,Q4
Feb 14,Texas Southern,Away,L,82-79,319,NR,Q4
Feb 16,Prairie View,Away,TBD,,330,NR,Q4
Feb 21,Southern,Away,TBD,,279,NR,Q4
Feb 23,Mississippi Valley State,Home,TBD,,,NR,Q4
Feb 26,Bethune-Cookman,Home,TBD,,251,NR,Q4
Feb 28,Florida A&M,Home,TBD,,336,NR,Q4
Mar 3,Alabama A&M,Away,TBD,,311,NR,Q4
Mar 5,Alabama State,Away,TBD,,,NR,Q4
