date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Purdue Fort Wayne,Home,W,90-71,253,NR,Q4
Nov 7,Youngstown State,Home,L,90-81,,NR,Q4
Nov 10,Northern Illinois,Home,W,88-59,,NR,Q4
Nov 15,Saint Louis,Away,L,78-64,17,NR,Q1
Nov 21,Northwestern State,Home,W,85-72,,NR,Q4
Nov 26,Utah,Neutral,W,68-58,128,NR,Q3
Nov 26,Iowa,Neutral,L,59-46,27,NR,Q1
Dec 2,Stetson,Home,W,67-45,325,NR,Q4
Dec 6,Oklahoma State,Neutral,L,84-78,72,NR,Q2
Dec 13,Coastal Carolina,Home,W,82-61,221,NR,Q4
Dec 20,Wyoming,Away,W,82-70,101,NR,Q2
Dec 22,IU Indy,Home,W,91-78,313,NR,Q4
Jan 3,Colorado State,Home,L,70-60,95,NR,Q3
Jan 7,Boise State,Away,W,75-58,60,NR,Q1
Jan 10,San Jose State,Home,W,76-58,265,NR,Q4
Jan 13,New Mexico,Away,L,87-64,44,NR,Q1
Jan 17,Utah State,Home,W,84-74,23,NR,Q1
Jan 21,San Diego State,Home,W,70-69,41,NR,Q2
Jan 24,Fresno State,Away,W,68-57,137,NR,Q3
Jan 27,Nevada,Away,L,66-60,59,NR,Q1
Jan 30,Boise State,Home,W,86-69,60,NR,Q2
Feb 3,Air Force,Home,W,81-57,346,NR,Q4
Feb 7,Nevada-Las Vegas,Away,L,80-78,,NR,Q4
Feb 11,New Mexico,Home,L,70-64,44,NR,Q2
Feb 14,San Jose State,Away,W,94-79,265,NR,Q4
Feb 17,San Diego State,Away,TBD,,41,NR,Q1
Feb 21,Wyoming,Home,TBD,,101,NR,Q3
Feb 25,Nevada-Las Vegas,Home,TBD,,,NR,Q4
Feb 28,Utah State,Away,TBD,,23,NR,Q1
Mar 3,Air Force,Away,TBD,,346,NR,Q4
Mar 7,Fresno State,Home,TBD,,137,NR,Q3
