date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Milwaukee,Away,L,90-86,246,NR,Q4
Nov 6,Mid-Atlantic Christian,Home,W,103-43,,NR,Q4
Nov 11,Virginia,Away,L,91-53,19,NR,Q1
Nov 14,Brown,Away,W,72-63,285,NR,Q4
Nov 16,Holy Cross,Neutral,L,67-61,327,NR,Q4
Nov 18,Boston College,Away,L,63-52,152,NR,Q3
Nov 21,Norfolk State,Away,L,62-60,309,NR,Q4
Nov 25,Maryland-Eastern Shore,Away,W,74-68,,NR,Q4
Dec 1,Newport News-Apprentice,Home,W,94-58,,NR,Q4
Dec 3,Loyola (MD),Home,W,93-71,,NR,Q4
Dec 13,Howard,Neutral,L,61-57,230,NR,Q4
Dec 18,Jackson State,Neutral,W,84-77,347,NR,Q4
Dec 19,Grambling,Neutral,L,81-72,275,NR,Q4
Dec 29,Stony Brook,Home,W,62-59,212,NR,Q4
Dec 31,Towson,Home,W,63-62,176,NR,Q4
Jan 3,UNC Wilmington,Away,L,49-45,,NR,Q4
Jan 8,Campbell,Away,L,86-72,207,NR,Q3
Jan 10,College of Charleston,Away,L,74-70,,NR,Q4
Jan 19,North Carolina A&T,Home,W,82-61,,NR,Q4
Jan 22,Monmouth,Home,W,65-63,193,NR,Q4
Jan 24,UNC Wilmington,Home,L,75-67,,NR,Q4
Jan 29,Drexel,Away,L,58-51,217,NR,Q3
Jan 31,Towson,Away,L,82-50,176,NR,Q3
Feb 5,Elon,Home,W,87-79,192,NR,Q4
Feb 7,William & Mary,Home,W,77-74,114,NR,Q3
Feb 13,North Carolina A&T,Neutral,L,71-70,,NR,Q4
Feb 19,Hofstra,Away,TBD,,102,NR,Q2
Feb 21,Stony Brook,Away,TBD,,212,NR,Q3
Feb 26,College of Charleston,Home,TBD,,,NR,Q4
Feb 28,Northeastern,Home,TBD,,273,NR,Q4
Mar 3,William & Mary,Away,TBD,,114,NR,Q2
