date,opponent,location,result,score,net_rank,ap_rank,quadrant
Nov 3,Furman,Neutral,W,97-71,194,NR,Q3
Nov 8,Averett,Home,W,127-52,,NR,Q4
Nov 11,Jacksonville,Home,W,85-64,306,NR,Q4
Nov 14,UAB,Away,L,91-74,119,NR,Q2
Nov 17,Canisius,Home,W,93-50,348,NR,Q4
Nov 20,Illinois-Chicago,Neutral,W,90-80,,NR,Q4
Nov 22,Incarnate Word,Neutral,W,91-80,,NR,Q4
Nov 29,Western Carolina,Home,W,93-73,263,NR,Q4
Dec 3,Southern Illinois,Home,L,86-84,126,NR,Q3
Dec 5,NJIT,Home,W,89-72,301,NR,Q4
Dec 14,Appalachian State,Neutral,L,86-78,,NR,Q4
Dec 16,Mary Baldwin,Home,W,129-47,,NR,Q4
Dec 19,La Salle,Home,W,84-72,241,NR,Q4
Dec 22,Bryant,Home,W,93-47,352,NR,Q4
Dec 28,Pfeiffer,Home,W,123-64,,NR,Q4
Dec 31,UNC Asheville,Away,W,87-69,228,NR,Q3
Jan 3,Longwood,Home,W,80-67,272,NR,Q4
Jan 7,Gardner-Webb,Home,W,104-49,363,NR,Q4
Jan 10,Charleston Southern,Away,W,84-82,,NR,Q4
Jan 14,Winthrop,Away,L,92-75,121,NR,Q2
Jan 17,South Carolina Upstate,Home,W,89-69,293,NR,Q4
Jan 23,Radford,Away,W,93-83,239,NR,Q3
Jan 29,Presbyterian,Home,W,84-81,271,NR,Q4
Jan 31,Longwood,Away,W,71-59,272,NR,Q4
Feb 4,Charleston Southern,Home,W,80-55,,NR,Q4
Feb 7,Radford,Home,W,86-77,239,NR,Q4
Feb 12,South Carolina Upstate,Away,W,95-70,293,NR,Q4
Feb 14,Gardner-Webb,Away,W,112-87,363,NR,Q4
Feb 19,UNC Asheville,Home,TBD,,228,NR,Q4
Feb 21,Winthrop,Home,TBD,,121,NR,Q3
Feb 26,Presbyterian,Away,TBD,,271,NR,Q4
